# Generation	mean_fitness
531	27.699
532	27.689
533	27.759
534	27.758
535	27.57
536	27.569
537	27.787
538	27.929
539	27.863
540	27.673
541	27.665
542	27.761
543	27.819
544	27.942
545	27.961
546	28.012
547	27.951
548	27.757
549	27.798
550	27.927
551	28.066
552	27.987
553	28.046
554	28.011
555	28.103
556	28.023
557	28.021
558	28.186
559	28.13
560	28.093
561	28.099
562	28.133
563	28.197
564	28.176
565	28.237
566	28.239
567	28.225
568	28.168
569	28.172
570	28.059
571	28.035
572	27.998
573	28.076
574	28.098
575	28.084
576	28.113
577	28.306
578	28.23
579	28.327
580	28.385
581	28.428
582	28.482
583	28.388
584	28.293
585	28.375
586	28.342
587	28.332
588	28.337
589	28.323
590	28.362
591	28.384
592	28.373
593	28.472
594	28.455
595	28.525
596	28.541
597	28.531
598	28.57
599	28.547
600	28.57
601	28.582
602	28.545
603	28.573
604	28.55
605	28.565
606	28.593
607	28.581
608	28.524
609	28.596
610	28.512
611	28.626
612	28.709
613	28.615
614	28.631
615	28.692
616	28.712
617	28.762
618	28.832
619	28.671
620	28.727
621	28.734
622	28.84
623	28.83
624	28.865
625	28.784
626	28.796
627	28.843
628	28.883
629	28.82
630	28.925
631	28.925
632	28.927
633	28.992
634	28.99
635	28.951
636	28.978
637	28.992
638	28.941
639	29.017
640	29.052
641	29.025
642	29.044
643	29.071
644	29.065
645	29.067
646	28.998
647	29.048
648	29.075
649	29.184
650	29.214
651	29.212
652	29.221
653	29.2
654	29.152
655	29.222
656	29.2
657	29.176
658	29.141
659	29.182
660	29.157
661	29.2
662	29.201
663	29.195
664	29.194
665	29.147
666	29.211
667	29.174
668	29.219
669	29.164
670	29.16
671	29.159
672	29.199
673	29.296
674	29.334
675	29.318
676	29.318
677	29.302
678	29.301
679	29.31
680	29.348
681	29.343
682	29.392
683	29.412
684	29.417
685	29.345
686	29.346
687	29.325
688	29.342
689	29.325
690	29.368
691	29.379
692	29.391
693	29.376
694	29.434
695	29.448
696	29.422
697	29.481
698	29.459
699	29.448
700	29.436
701	29.446
702	29.427
703	29.554
704	29.583
705	29.618
706	29.543
707	29.592
708	29.577
709	29.582
710	29.598
711	29.607
712	29.617
713	29.651
714	29.621
715	29.614
716	29.641
717	29.64
718	29.647
719	29.638
720	29.607
721	29.607
722	29.665
723	29.677
724	29.664
725	29.703
726	29.741
727	29.722
728	29.7
729	29.715
730	29.752
731	29.729
732	29.723
733	29.734
734	29.776
735	29.807
736	29.798
737	29.76
738	29.743
739	29.751
740	29.743
741	29.767
742	29.756
743	29.762
744	29.775
745	29.814
746	29.836
747	29.847
748	29.842
749	29.864
750	29.858
751	29.861
752	29.889
753	29.868
754	29.85
755	29.863
756	29.848
757	29.888
758	29.909
759	29.926
760	29.92
761	29.888
762	29.889
763	29.881
764	29.899
765	29.909
766	29.885
767	29.889
768	29.89
769	29.911
770	29.948
771	29.939
772	29.901
773	29.941
774	29.942
775	29.956
776	29.964
777	29.957
778	29.995
779	30.005
780	30.009
781	30.015
782	30.016
783	30.027
784	30.003
785	30.019
786	30.026
787	30.074
788	30.072
789	30.078
790	30.058
791	30.06
792	30.078
793	30.073
794	30.074
795	30.09
796	30.092
797	30.087
798	30.065
799	30.089
800	30.103
801	30.078
802	30.079
803	30.067
804	30.078
805	30.096
806	30.112
807	30.127
808	30.119
809	30.116
810	30.129
811	30.15
812	30.136
813	30.118
814	30.114
815	30.149
816	30.144
817	30.16
818	30.158
819	30.178
820	30.166
821	30.164
822	30.159
823	30.155
824	30.155
825	30.148
826	30.15
827	30.151
828	30.154
829	30.152
830	30.157
831	30.163
832	30.162
833	30.186
834	30.191
835	30.193
836	30.216
837	30.236
838	30.233
839	30.225
840	30.229
841	30.223
842	30.208
843	30.203
844	30.219
845	30.223
846	30.217
847	30.231
848	30.239
849	30.255
850	30.265
851	30.277
852	30.281
853	30.278
854	30.269
855	30.275
856	30.278
857	30.276
858	30.273
859	30.288
860	30.289
861	30.301
862	30.305
863	30.31
864	30.317
865	30.308
866	30.306
867	30.319
868	30.326
869	30.327
870	30.329
871	30.319
872	30.313
873	30.311
874	30.307
875	30.309
876	30.312
877	30.318
878	30.331
879	30.329
880	30.336
881	30.339
882	30.329
883	30.337
884	30.337
885	30.34
886	30.341
887	30.338
888	30.341
889	30.353
890	30.356
891	30.359
892	30.366
893	30.372
894	30.37
895	30.371
896	30.366
897	30.369
898	30.362
899	30.364
900	30.374
901	30.363
902	30.36
903	30.351
904	30.377
905	30.376
906	30.372
907	30.382
908	30.388
909	30.381
910	30.387
911	30.383
912	30.381
913	30.381
914	30.382
915	30.392
916	30.394
917	30.387
918	30.382
919	30.388
920	30.392
921	30.387
922	30.392
923	30.396
924	30.403
925	30.401
926	30.408
927	30.403
928	30.407
929	30.412
930	30.404
931	30.406
932	30.413
933	30.413
934	30.409
935	30.406
936	30.412
937	30.412
938	30.412
939	30.408
940	30.402
941	30.406
942	30.412
943	30.426
944	30.428
945	30.432
946	30.431
947	30.421
948	30.411
949	30.418
950	30.411
951	30.411
952	30.418
953	30.407
954	30.414
955	30.414
956	30.408
957	30.416
958	30.428
959	30.434
960	30.44
961	30.435
962	30.444
963	30.442
964	30.442
965	30.443
966	30.445
967	30.438
968	30.441
969	30.439
970	30.449
971	30.448
972	30.454
973	30.464
974	30.454
975	30.46
976	30.461
977	30.461
978	30.461
979	30.464
980	30.464
981	30.467
982	30.467
983	30.465
984	30.474
985	30.475
986	30.471
987	30.465
988	30.474
989	30.478
990	30.476
991	30.476
992	30.478
993	30.478
994	30.475
995	30.484
996	30.484
997	30.488
998	30.489
999	30.489
1000	30.485
1001	30.49
1002	30.488
1003	30.491
1004	30.496
1005	30.493
1006	30.497
1007	30.497
1008	30.505
1009	30.503
1010	30.501
1011	30.498
1012	30.499
1013	30.498
1014	30.493
1015	30.495
1016	30.496
1017	30.497
1018	30.499
1019	30.503
1020	30.5
1021	30.499
1022	30.498
1023	30.498
1024	30.497
1025	30.499
1026	30.499
1027	30.503
1028	30.506
1029	30.503
1030	30.505
1031	30.503
1032	30.509
1033	30.509
1034	30.513
1035	30.513
1036	30.51
1037	30.512
1038	30.51
1039	30.512
1040	30.51
1041	30.51
1042	30.512
1043	30.511
1044	30.514
1045	30.508
1046	30.508
1047	30.506
1048	30.511
1049	30.51
1050	30.507
1051	30.504
1052	30.503
1053	30.505
1054	30.509
1055	30.513
1056	30.514
1057	30.515
1058	30.516
1059	30.517
1060	30.516
1061	30.515
1062	30.516
1063	30.517
1064	30.513
1065	30.514
1066	30.514
1067	30.512
1068	30.51
1069	30.513
1070	30.515
1071	30.515
1072	30.517
1073	30.518
1074	30.513
1075	30.516
1076	30.517
1077	30.517
1078	30.519
1079	30.52
1080	30.52
1081	30.52
1082	30.519
1083	30.518
1084	30.516
1085	30.518
1086	30.519
1087	30.522
1088	30.521
1089	30.524
1090	30.522
1091	30.523
1092	30.522
1093	30.52
1094	30.523
1095	30.525
1096	30.526
1097	30.527
1098	30.527
1099	30.526
1100	30.527
1101	30.527
1102	30.528
1103	30.527
1104	30.525
1105	30.527
1106	30.527
1107	30.527
1108	30.526
1109	30.526
1110	30.526
1111	30.525
1112	30.525
1113	30.524
1114	30.523
1115	30.522
1116	30.524
1117	30.523
1118	30.522
1119	30.522
1120	30.524
1121	30.526
1122	30.526
1123	30.526
1124	30.525
1125	30.525
1126	30.523
1127	30.525
1128	30.525
1129	30.526
1130	30.528
1131	30.527
1132	30.526
1133	30.526
1134	30.526
1135	30.526
1136	30.525
1137	30.524
1138	30.524
1139	30.525
1140	30.526
1141	30.527
1142	30.527
1143	30.527
1144	30.527
1145	30.525
1146	30.525
1147	30.525
1148	30.525
1149	30.527
1150	30.527
1151	30.527
1152	30.527
1153	30.527
1154	30.527
1155	30.527
1156	30.526
1157	30.526
1158	30.526
1159	30.527
1160	30.527
1161	30.528
1162	30.528
1163	30.528
1164	30.528
1165	30.528
1166	30.528
1167	30.528
1168	30.528
1169	30.528
1170	30.528
1171	30.528
1172	30.528
1173	30.528
1174	30.528
1175	30.528
1176	30.528
1177	30.528
1178	30.528
1179	30.528
1180	30.528
1181	30.528
1182	30.528
1183	30.528
1184	30.528
1185	30.528
1186	30.528
1187	30.528
1188	30.527
1189	30.527
1190	30.527
1191	30.527
1192	30.527
1193	30.527
1194	30.526
1195	30.526
1196	30.526
1197	30.526
1198	30.526
1199	30.526
1200	30.526
1201	30.526
1202	30.527
1203	30.527
1204	30.527
1205	30.527
1206	30.527
1207	30.527
1208	30.527
1209	30.527
1210	30.527
1211	30.527
1212	30.527
1213	30.527
1214	30.528
1215	30.528
1216	30.528
1217	30.528
1218	30.528
1219	30.528
1220	30.528
1221	30.528
1222	30.528
1223	30.528
1224	30.528
1225	30.528
1226	30.528
1227	30.528
1228	30.528
1229	30.528
1230	30.528
1231	30.528
1232	30.528
1233	30.528
1234	30.528
1235	30.528
1236	30.528
1237	30.528
1238	30.528
1239	30.528
1240	30.528
1241	30.528
1242	30.528
1243	30.528
1244	30.528
1245	30.528
1246	30.528
1247	30.528
1248	30.528
1249	30.528
1250	30.528
1251	30.528
1252	30.528
1253	30.528
1254	30.528
1255	30.528
1256	30.528
1257	30.528
1258	30.528
1259	30.528
1260	30.528
1261	30.528
1262	30.528
1263	30.528
1264	30.528
1265	30.528
1266	30.528
1267	30.528
1268	30.528
1269	30.528
1270	30.528
1271	30.528
1272	30.528
1273	30.528
1274	30.528
1275	30.528
1276	30.528
1277	30.528
1278	30.528
1279	30.528
1280	30.528
1281	30.528
1282	30.528
1283	30.528
1284	30.528
1285	30.528
1286	30.528
1287	30.528
1288	30.528
1289	30.528
1290	30.528
1291	30.528
1292	30.528
1293	30.528
1294	30.528
1295	30.528
1296	30.528
1297	30.528
1298	30.528
1299	30.528
1300	30.528
1301	30.528
1302	30.528
1303	30.528
1304	30.528
1305	30.528
1306	30.528
1307	30.528
1308	30.528
1309	30.528
1310	30.528
1311	30.528
1312	30.528
1313	30.528
1314	30.528
1315	30.528
1316	30.528
1317	30.528
1318	30.528
1319	30.528
1320	30.528
1321	30.528
1322	30.528
1323	30.528
1324	30.528
1325	30.528
1326	30.528
1327	30.528
1328	30.528
1329	30.528
1330	30.528
1331	30.528
1332	30.528
1333	30.528
1334	30.528
1335	30.528
1336	30.528
1337	30.528
1338	30.528
1339	30.528
1340	30.528
1341	30.528
1342	30.528
1343	30.528
1344	30.528
1345	30.528
1346	30.528
1347	30.528
1348	30.528
1349	30.528
1350	30.528
1351	30.528
1352	30.528
1353	30.528
1354	30.528
1355	30.528
1356	30.528
1357	30.528
1358	30.528
1359	30.528
1360	30.528
1361	30.528
1362	30.528
1363	30.528
1364	30.528
1365	30.528
1366	30.528
1367	30.528
1368	30.528
1369	30.528
1370	30.528
1371	30.528
1372	30.528
1373	30.528
1374	30.528
1375	30.528
1376	30.528
1377	30.528
1378	30.528
1379	30.528
1380	30.528
1381	30.528
1382	30.528
1383	30.528
1384	30.528
1385	30.528
1386	30.528
1387	30.528
1388	30.528
1389	30.528
1390	30.528
1391	30.528
1392	30.528
1393	30.528
1394	30.528
1395	30.528
1396	30.528
1397	30.528
1398	30.528
1399	30.528
1400	30.528
1401	30.528
1402	30.528
1403	30.528
1404	30.528
1405	30.528
1406	30.528
1407	30.528
1408	30.528
1409	30.528
1410	30.528
1411	30.528
1412	30.528
1413	30.528
1414	30.528
1415	30.528
1416	30.528
1417	30.528
1418	30.528
1419	30.528
1420	30.528
1421	30.528
1422	30.528
1423	30.528
1424	30.528
1425	30.528
1426	30.528
1427	30.528
1428	30.528
1429	30.528
1430	30.528
1431	30.528
1432	30.528
1433	30.528
1434	30.528
1435	30.528
1436	30.528
1437	30.528
1438	30.528
1439	30.528
1440	30.528
1441	30.528
1442	30.528
1443	30.528
1444	30.528
1445	30.528
1446	30.528
1447	30.528
1448	30.528
1449	30.528
1450	30.528
1451	30.528
1452	30.528
1453	30.528
1454	30.528
1455	30.528
1456	30.528
1457	30.528
1458	30.528
1459	30.528
1460	30.528
1461	30.528
1462	30.528
1463	30.528
1464	30.528
1465	30.528
1466	30.528
1467	30.528
1468	30.528
1469	30.528
1470	30.528
1471	30.528
1472	30.528
1473	30.528
1474	30.528
1475	30.528
1476	30.528
1477	30.528
1478	30.528
1479	30.528
1480	30.528
1481	30.528
1482	30.528
1483	30.528
1484	30.528
1485	30.528
1486	30.528
1487	30.528
1488	30.528
1489	30.528
1490	30.528
1491	30.528
1492	30.528
1493	30.528
1494	30.528
1495	30.528
1496	30.528
1497	30.528
1498	30.528
1499	30.528
1500	30.528
1501	30.528
1502	30.528
1503	30.528
1504	30.528
1505	30.528
1506	30.528
1507	30.528
1508	30.528
1509	30.528
1510	30.528
1511	30.528
1512	30.528
1513	30.528
1514	30.528
1515	30.528
1516	30.528
1517	30.528
1518	30.528
1519	30.528
1520	30.528
1521	30.528
1522	30.528
1523	30.528
1524	30.528
1525	30.528
1526	30.528
1527	30.528
1528	30.528
1529	30.528
1530	30.528
1531	30.528
1532	30.528
1533	30.528
1534	30.528
1535	30.528
1536	30.528
1537	30.528
1538	30.528
