# Eval no.	mean best sol
0	2.8558162233860402
1	1.6507512043348374
2	1.0649590186448974
3	0.7603976277415985
4	0.5652610682321012
5	0.43152590989386636
6	0.34746130863490104
7	0.2942553936503006
8	0.2501175210195338
9	0.2138922752793674
10	0.18687532803223347
11	0.16858385341210005
12	0.15353669800490016
13	0.14055904571813344
14	0.13020086168800005
15	0.12280296036639998
16	0.11667462200996696
17	0.11081817431176674
18	0.10435191473243335
19	0.09968238414653342
20	0.09668678452840006
21	0.0935721637121334
22	0.09072578351363327
23	0.08883468376916659
24	0.08678549802229986
25	0.08492643968226662
26	0.08347703007786665
27	0.08206526852929992
28	0.08109003649926662
29	0.07969405181226653
30	0.07810363789579995
31	0.07722509757236676
32	0.07598113499873344
33	0.07522188780900009
34	0.07389533140423335
35	0.07295464926133331
36	0.07207389805346665
37	0.07145766946379997
38	0.07049546884486663
39	0.06966026274273328
40	0.0688524925354666
41	0.06818990096073325
42	0.06762597896376656
43	0.0668074003052998
44	0.06617741937663309
45	0.06582673033113319
46	0.0654281398326332
47	0.06472772373416656
48	0.06423277303263325
49	0.06360470769876657
50	0.06281548138026666
51	0.06221777623316662
52	0.06174720842420001
53	0.061288328047600024
54	0.06064236698243338
55	0.06010461823090006
56	0.05967317502156672
57	0.059059031559500076
58	0.058767925925766774
59	0.05847637243630008
60	0.05810403676983343
61	0.05748825259423344
62	0.05704381979130007
63	0.05660660052026671
64	0.05623404760550001
65	0.05582969599989996
66	0.055393941333066646
67	0.054915103571500014
68	0.0544933591543667
69	0.05416892810600012
70	0.05366333226776675
71	0.053234436078666764
72	0.05270546636213342
73	0.05218445547633343
74	0.0517501604317334
75	0.05141226225976676
76	0.051143815068900096
77	0.05075977180543344
78	0.050271400088800086
79	0.04970446210183336
80	0.049176396532733396
81	0.04891734942296666
82	0.04848796751853335
83	0.04818259512113336
84	0.047844164164200044
85	0.04752060196883336
86	0.047195905824466707
87	0.04678260902730008
88	0.046462676537500025
89	0.046150090441966676
90	0.04581355123413337
91	0.04536239508053335
92	0.045091651133533354
93	0.044778034432566734
94	0.04435435753360009
95	0.04399058883080011
96	0.04361071027400014
97	0.04326881781956678
98	0.04298291883596676
99	0.04271114160300011
100	0.042387449602266744
101	0.042093009165233404
102	0.041835559134066724
103	0.041621271555066744
104	0.0413192855132001
105	0.04103521375386674
106	0.040741864953433425
107	0.040465882830633425
108	0.040196472096433435
109	0.0398508896462334
110	0.0395900915463334
111	0.039318561744033406
112	0.03906039362306673
113	0.038586277088566684
114	0.03827387273103335
115	0.03789390798480005
116	0.037625225509466724
117	0.03740170849366673
118	0.037088167714333396
119	0.03676805517410006
120	0.036488547769900036
121	0.0362038245610001
122	0.035958814714733396
123	0.035683273177800096
124	0.03546423025820012
125	0.03529263427206679
126	0.03512764483756678
127	0.03491450600526681
128	0.03474472704790017
129	0.03454707585743348
130	0.034327578330133474
131	0.033976657415233424
132	0.03368192517253344
133	0.03350948807903344
134	0.03331866895746678
135	0.03312962140460009
136	0.032951538786333404
137	0.03276426593540006
138	0.03250036113240006
139	0.03235287409910007
140	0.03196564700366672
141	0.03173915289293338
142	0.03143256969870007
143	0.031173662595100068
144	0.030947854887900077
145	0.030668825224366772
146	0.030365472078300083
147	0.03010600479470009
148	0.029894282542200088
149	0.02968209576133338
150	0.029489498153700087
151	0.029238396230100085
152	0.029059610404266748
153	0.028836235870566766
154	0.028680740196900104
155	0.02847571814406677
156	0.02830787725520011
157	0.028114457578666752
158	0.028018981776233427
159	0.027812892661033407
160	0.027631982586366746
161	0.027348514256400065
162	0.027202816553566735
163	0.027048631895566725
164	0.026864180881566745
165	0.026744464809466715
166	0.026585747522066706
