# Generation	ratio_optimal	mean_fitness
267	0.05485	24.6026
268	0.05484	24.5951
269	0.05472	24.6287
270	0.05429	24.6111
271	0.05279	24.61
272	0.05468	24.6419
273	0.05417	24.6486
274	0.054	24.645
275	0.05477	24.6592
276	0.05486	24.6585
277	0.05491	24.6653
278	0.05402	24.6806
279	0.05491	24.6837
280	0.05579	24.6819
281	0.05475	24.6879
282	0.05506	24.6861
283	0.05615	24.7081
284	0.05692	24.7408
285	0.05686	24.7401
286	0.05621	24.7364
287	0.05539	24.7411
288	0.05695	24.7367
289	0.05633	24.7646
290	0.05677	24.7723
291	0.0573	24.7701
292	0.05722	24.7836
293	0.05676	24.7812
294	0.05747	24.7759
295	0.05835	24.8041
296	0.05843	24.8307
297	0.05782	24.8314
298	0.05734	24.8332
299	0.05896	24.844
300	0.05935	24.8566
301	0.05809	24.8639
302	0.05857	24.8673
303	0.05936	24.8682
304	0.05903	24.884
305	0.05886	24.8887
306	0.0595	24.8975
307	0.05979	24.922
308	0.06078	24.942
309	0.06067	24.9474
310	0.06102	24.9522
311	0.06036	24.9569
312	0.06194	24.9535
313	0.06036	24.9677
314	0.0612	24.9774
315	0.06159	24.9758
316	0.06136	24.9867
317	0.06078	25.0097
318	0.06175	25.0159
319	0.06217	25.0523
320	0.06265	25.0236
321	0.06402	25.0564
322	0.06436	25.0509
323	0.06339	25.0863
324	0.063	25.1028
325	0.06325	25.0804
326	0.06255	25.1092
327	0.0635	25.0989
328	0.06367	25.1052
329	0.06411	25.112
330	0.0643	25.1231
331	0.06352	25.1362
332	0.06464	25.1354
333	0.06436	25.1619
334	0.06524	25.1706
335	0.0644	25.1872
336	0.06445	25.1873
337	0.06406	25.1963
338	0.06499	25.2007
339	0.06514	25.2096
340	0.06618	25.2125
341	0.06563	25.2501
342	0.06613	25.2402
343	0.06616	25.2631
344	0.06615	25.2646
345	0.0663	25.2711
346	0.06707	25.2618
347	0.06718	25.2844
348	0.06636	25.306
349	0.06581	25.3119
350	0.06699	25.3273
351	0.06641	25.3083
352	0.06626	25.3382
353	0.068	25.3479
354	0.06844	25.3633
355	0.06831	25.3674
