# Generation	mean_fitness
531	27.852
532	27.887
533	27.937
534	27.887
535	27.799
536	27.826
537	27.863
538	27.861
539	27.801
540	27.832
541	27.954
542	27.973
543	27.971
544	27.975
545	27.911
546	27.803
547	27.815
548	27.839
549	27.955
550	27.938
551	27.927
552	28.041
553	28.046
554	28.002
555	28.052
556	28.027
557	28.015
558	28.029
559	28.064
560	28.094
561	28.117
562	28.176
563	28.223
564	28.136
565	28.081
566	28.146
567	28.169
568	28.257
569	28.253
570	28.253
571	28.294
572	28.259
573	28.292
574	28.366
575	28.387
576	28.368
577	28.387
578	28.348
579	28.31
580	28.304
581	28.341
582	28.348
583	28.428
584	28.372
585	28.333
586	28.363
587	28.417
588	28.412
589	28.426
590	28.461
591	28.381
592	28.41
593	28.566
594	28.479
595	28.462
596	28.399
597	28.331
598	28.441
599	28.496
600	28.595
601	28.5
602	28.646
603	28.663
604	28.625
605	28.649
606	28.687
607	28.738
608	28.716
609	28.715
610	28.732
611	28.794
612	28.784
613	28.717
614	28.761
615	28.808
616	28.874
617	28.825
618	28.805
619	28.822
620	28.837
621	28.879
622	28.889
623	28.88
624	28.84
625	28.857
626	28.947
627	28.919
628	28.905
629	28.891
630	28.828
631	28.887
632	28.931
633	28.949
634	28.998
635	28.949
636	28.994
637	29.02
638	29.008
639	28.913
640	28.933
641	28.987
642	28.967
643	29.012
644	29.006
645	29.021
646	29.075
647	29.113
648	29.089
649	29.112
650	29.116
651	29.159
652	29.148
653	29.103
654	29.145
655	29.094
656	29.138
657	29.125
658	29.133
659	29.157
660	29.17
661	29.202
662	29.208
663	29.224
664	29.243
665	29.241
666	29.172
667	29.218
668	29.21
669	29.228
670	29.227
671	29.231
672	29.221
673	29.182
674	29.244
675	29.291
676	29.297
677	29.313
678	29.32
679	29.309
680	29.344
681	29.324
682	29.335
683	29.307
684	29.267
685	29.28
686	29.309
687	29.319
688	29.386
689	29.404
690	29.439
691	29.391
692	29.438
693	29.43
694	29.439
695	29.464
696	29.442
697	29.49
698	29.495
699	29.482
700	29.43
701	29.418
702	29.387
703	29.492
704	29.492
705	29.455
706	29.487
707	29.489
708	29.502
709	29.547
710	29.521
711	29.535
712	29.576
713	29.537
714	29.557
715	29.574
716	29.621
717	29.625
718	29.606
719	29.613
720	29.659
721	29.635
722	29.632
723	29.691
724	29.677
725	29.68
726	29.686
727	29.743
728	29.75
729	29.759
730	29.781
731	29.795
732	29.767
733	29.781
734	29.815
735	29.785
736	29.805
737	29.81
738	29.746
739	29.734
740	29.728
741	29.735
742	29.758
743	29.753
744	29.821
745	29.845
746	29.818
747	29.792
748	29.807
749	29.83
750	29.876
751	29.876
752	29.881
753	29.908
754	29.88
755	29.887
756	29.919
757	29.938
758	29.925
759	29.921
760	29.924
761	29.907
762	29.903
763	29.897
764	29.897
765	29.932
766	29.904
767	29.901
768	29.932
769	29.917
770	29.931
771	29.946
772	29.973
773	29.988
774	29.956
775	29.981
776	30.013
777	29.998
778	30.022
779	30.024
780	30.016
781	30.014
782	30.06
783	30.053
784	30.057
785	30.066
786	30.031
787	30.022
788	30.056
789	30.032
790	30.039
791	30.049
792	30.055
793	30.07
794	30.081
795	30.099
796	30.131
797	30.137
798	30.165
799	30.187
800	30.174
801	30.195
802	30.208
803	30.187
804	30.179
805	30.178
806	30.184
807	30.194
808	30.17
809	30.181
810	30.158
811	30.153
812	30.152
813	30.165
814	30.22
815	30.222
816	30.244
817	30.227
818	30.211
819	30.211
820	30.254
821	30.254
822	30.255
823	30.244
824	30.235
825	30.259
826	30.258
827	30.266
828	30.265
829	30.264
830	30.301
831	30.31
832	30.286
833	30.296
834	30.3
835	30.282
836	30.282
837	30.298
838	30.299
839	30.321
840	30.316
841	30.287
842	30.286
843	30.298
844	30.318
845	30.345
846	30.368
847	30.383
848	30.382
849	30.377
850	30.384
851	30.388
852	30.405
853	30.408
854	30.386
855	30.397
856	30.416
857	30.388
858	30.369
859	30.39
860	30.386
861	30.399
862	30.382
863	30.389
864	30.413
865	30.4
866	30.413
867	30.413
868	30.417
869	30.422
870	30.412
871	30.421
872	30.41
873	30.413
874	30.443
875	30.426
876	30.424
877	30.447
878	30.439
879	30.463
880	30.453
881	30.443
882	30.434
883	30.44
884	30.429
885	30.443
886	30.446
887	30.452
888	30.465
889	30.458
890	30.468
891	30.492
892	30.471
893	30.482
894	30.475
895	30.494
896	30.492
897	30.497
898	30.49
899	30.505
900	30.495
901	30.506
902	30.511
903	30.519
904	30.536
905	30.537
906	30.526
907	30.53
908	30.538
909	30.533
910	30.553
911	30.561
912	30.565
913	30.559
914	30.566
915	30.57
916	30.558
917	30.571
918	30.575
919	30.591
920	30.593
921	30.596
922	30.595
923	30.598
924	30.594
925	30.608
926	30.601
927	30.59
928	30.604
929	30.619
930	30.635
931	30.632
932	30.62
933	30.624
934	30.614
935	30.602
936	30.619
937	30.624
938	30.63
939	30.629
940	30.635
941	30.637
942	30.639
943	30.632
944	30.638
945	30.657
946	30.651
947	30.646
948	30.647
949	30.65
950	30.652
951	30.652
952	30.663
953	30.668
954	30.665
955	30.67
956	30.682
957	30.671
958	30.668
959	30.675
960	30.683
961	30.687
962	30.679
963	30.683
964	30.686
965	30.688
966	30.684
967	30.684
968	30.679
969	30.678
970	30.685
971	30.694
972	30.688
973	30.693
974	30.691
975	30.675
976	30.667
977	30.674
978	30.679
979	30.677
980	30.686
981	30.697
982	30.691
983	30.693
984	30.703
985	30.704
986	30.7
987	30.692
988	30.697
989	30.698
990	30.702
991	30.702
992	30.687
993	30.7
994	30.701
995	30.698
996	30.708
997	30.705
998	30.702
999	30.702
1000	30.701
1001	30.702
1002	30.719
1003	30.719
1004	30.726
1005	30.732
1006	30.726
1007	30.725
1008	30.719
1009	30.714
1010	30.715
1011	30.716
1012	30.723
1013	30.733
1014	30.735
1015	30.736
1016	30.736
1017	30.739
1018	30.743
1019	30.748
1020	30.751
1021	30.741
1022	30.735
1023	30.741
1024	30.743
1025	30.744
1026	30.741
1027	30.751
1028	30.75
1029	30.754
1030	30.743
1031	30.743
1032	30.751
1033	30.758
1034	30.751
1035	30.748
1036	30.753
1037	30.756
1038	30.767
1039	30.767
1040	30.769
1041	30.76
1042	30.763
1043	30.757
1044	30.761
1045	30.758
1046	30.756
1047	30.751
1048	30.754
1049	30.757
1050	30.76
1051	30.762
1052	30.762
1053	30.766
1054	30.768
1055	30.772
1056	30.771
1057	30.767
1058	30.77
1059	30.769
1060	30.769
1061	30.772
1062	30.773
1063	30.777
1064	30.779
1065	30.782
1066	30.781
1067	30.78
1068	30.779
1069	30.783
1070	30.783
1071	30.78
1072	30.783
1073	30.789
1074	30.789
1075	30.79
1076	30.793
1077	30.794
1078	30.791
1079	30.79
1080	30.792
1081	30.791
1082	30.79
1083	30.789
1084	30.786
1085	30.786
1086	30.788
1087	30.786
1088	30.782
1089	30.788
1090	30.79
1091	30.791
1092	30.791
1093	30.792
1094	30.792
1095	30.791
1096	30.786
1097	30.784
1098	30.785
1099	30.784
1100	30.784
1101	30.783
1102	30.788
1103	30.793
1104	30.789
1105	30.79
1106	30.792
1107	30.793
1108	30.794
1109	30.793
1110	30.794
1111	30.794
1112	30.794
1113	30.795
1114	30.793
1115	30.792
1116	30.792
1117	30.791
1118	30.788
1119	30.788
1120	30.787
1121	30.789
1122	30.791
1123	30.794
1124	30.794
1125	30.795
1126	30.796
1127	30.795
1128	30.794
1129	30.795
1130	30.796
1131	30.796
1132	30.796
1133	30.796
1134	30.797
1135	30.797
1136	30.797
1137	30.799
