# Generation	mean_fitness
0	23.569
1	23.515
2	23.523
3	23.612
4	23.313
5	23.415
6	23.471
7	23.638
8	23.408
9	23.764
10	23.529
11	23.506
12	23.397
13	23.428
14	23.386
15	23.218
16	23.288
17	23.652
18	23.32
19	23.561
20	23.706
21	23.147
22	23.198
23	23.314
24	23.724
25	23.625
26	23.567
27	23.383
28	23.292
29	23.39
30	23.383
31	23.355
32	23.69
33	23.527
34	23.562
35	23.632
36	23.507
37	23.539
38	23.799
39	23.33
40	23.44
41	23.414
42	23.635
43	23.482
44	23.668
45	23.59
46	23.48
47	23.49
48	23.299
49	23.336
50	23.526
51	23.762
52	23.504
53	23.548
54	23.469
55	23.379
56	23.455
57	23.606
58	23.714
59	23.568
60	23.563
61	23.579
62	23.662
63	23.55
64	23.692
65	23.646
66	23.605
67	23.48
68	23.626
69	23.576
70	23.635
71	23.656
72	23.583
73	23.623
74	23.908
75	23.433
76	23.526
77	23.821
78	23.834
79	23.728
80	23.407
81	23.572
82	23.438
83	23.579
84	23.531
85	23.607
86	23.51
87	23.759
88	23.83
89	23.584
90	23.534
91	23.515
92	23.47
93	23.642
94	23.755
95	23.673
96	23.814
97	23.94
98	24.038
99	24.035
100	23.592
101	23.703
102	23.605
103	23.642
104	23.331
105	23.702
106	23.535
107	23.778
108	23.794
109	23.484
110	23.703
111	23.862
112	23.937
113	23.979
114	23.824
115	23.829
116	23.852
117	23.881
118	23.601
119	23.519
120	23.745
121	23.806
122	23.666
123	23.793
124	23.716
125	23.722
126	23.785
127	23.849
128	23.711
129	23.756
130	23.644
131	23.798
132	23.892
133	23.984
134	23.686
135	23.921
136	23.885
137	24.124
138	23.878
139	23.834
140	23.95
141	23.912
142	24.155
143	23.943
144	24.098
145	24.112
146	24.019
147	23.879
148	23.831
149	24.017
150	24.029
151	24.156
152	24.07
153	23.781
154	23.859
155	24.004
156	23.613
157	23.812
158	23.871
159	23.877
160	23.972
161	24.086
162	24.241
163	23.926
164	24.12
165	24.106
166	23.654
167	23.83
168	23.844
169	23.798
170	24.036
171	23.865
172	24.025
173	23.98
174	24.054
175	24.082
176	24
177	23.989
178	24.044
179	23.908
180	23.802
181	24.086
182	24.221
183	24.236
184	24.226
185	24.278
186	24.144
187	24.033
188	23.992
189	23.798
190	24.218
191	23.992
192	24.175
193	24.054
194	23.997
195	24.083
196	24.251
197	24.126
198	24.232
199	24.016
200	24.014
201	23.845
202	24.286
203	24.261
204	24.262
205	24.078
206	24.014
207	24.271
208	23.94
209	24.174
210	24.299
211	24.365
212	24.111
213	24.06
214	24.398
215	24.149
216	24.16
217	24.168
218	24.117
219	24.009
220	23.998
221	24.162
222	23.941
223	24.086
224	24.211
225	24.172
226	24.207
227	24.096
228	24.319
229	24.434
230	24.257
231	24.392
232	24.3
233	24.203
234	24.124
235	24.39
236	24.592
237	24.277
238	24.327
239	24.62
240	24.396
241	24.4
242	24.414
243	24.314
244	24.352
245	24.587
246	24.446
247	24.384
248	24.505
249	24.612
250	24.449
251	24.518
252	24.61
253	24.421
254	24.448
255	24.34
256	24.63
257	24.659
258	24.595
259	24.815
260	24.663
261	24.53
262	24.482
263	24.585
264	24.407
265	24.666
266	24.607
267	24.498
268	24.301
269	24.332
270	24.478
271	24.428
272	24.353
273	24.561
274	24.603
275	24.333
276	24.414
277	24.585
278	24.695
279	24.639
280	24.733
281	24.768
282	24.771
283	24.75
284	24.958
285	24.896
286	24.711
287	24.683
288	24.92
289	24.825
290	24.991
291	24.745
292	24.749
293	24.654
294	24.769
295	24.823
296	25.02
297	24.876
298	24.94
299	24.888
300	24.894
301	24.875
302	25.032
303	24.958
304	25.025
305	24.95
306	25.03
307	25.022
308	25.017
309	24.954
310	24.88
311	25.057
312	24.838
313	24.897
314	24.897
315	24.663
316	24.803
317	25.12
318	24.926
319	25.167
320	25.079
321	24.872
322	24.938
323	25.121
324	24.885
325	24.858
326	24.944
327	25.311
328	25.166
329	25.365
330	25.207
331	25.138
332	25.035
333	25.209
334	25.2
335	25.156
336	25.149
337	25.22
338	25.073
339	25.148
340	25.112
341	25.197
342	25.303
343	25.404
344	25.159
345	25.291
346	25.419
347	25.319
348	25.4
349	25.257
350	25.413
351	25.378
352	25.418
353	25.21
354	25.322
355	25.37
356	25.361
357	25.266
358	25.384
359	25.363
360	25.472
361	25.563
362	25.611
363	25.844
364	25.924
365	25.707
366	25.695
367	25.707
368	25.619
369	25.48
370	25.595
371	25.744
372	25.671
373	25.747
374	25.818
375	25.729
376	25.796
377	25.755
378	26.056
379	25.796
380	25.818
381	25.538
382	25.675
383	25.672
384	25.634
385	25.605
386	25.506
387	25.565
388	25.792
389	25.677
390	25.83
391	25.891
392	25.924
393	25.884
394	25.994
395	26.04
396	26.072
397	25.908
398	26.019
399	25.866
400	26.079
401	25.935
402	25.891
403	25.95
404	25.931
405	25.881
406	25.986
407	26.02
408	25.978
409	26.047
410	26.164
411	26.053
412	26.057
413	26.316
414	26.198
415	26.119
416	26.33
417	25.994
418	25.884
419	25.967
420	26.129
421	25.973
422	26.076
423	26.25
424	26.295
425	26.23
426	26.285
427	26.117
428	26.218
429	26.464
430	26.316
431	26.39
432	26.306
433	26.303
434	26.292
435	26.265
436	26.256
437	26.531
438	26.614
439	26.466
440	26.249
441	26.338
442	26.345
443	26.316
444	26.394
445	26.363
446	26.463
447	26.477
448	26.322
449	26.351
450	26.537
451	26.465
452	26.472
453	26.52
454	26.291
455	26.576
456	26.705
457	26.537
458	26.643
459	26.63
460	26.545
461	26.478
462	26.443
463	26.602
464	26.849
465	26.822
466	26.709
467	26.86
468	26.669
469	26.741
470	26.824
471	26.902
472	27.019
473	26.914
474	27.001
475	26.904
476	26.837
477	26.82
478	27.029
479	26.98
480	26.999
481	26.939
482	27.037
483	27.059
484	26.94
485	26.959
486	26.905
487	27.086
488	27.037
489	26.944
490	27.109
491	27.109
492	27.039
493	27.048
494	27.11
495	27.178
496	27.162
497	27.196
498	27.161
499	27.116
500	27.268
501	27.201
502	27.247
503	27.153
504	27.045
505	27.159
506	27.257
507	27.27
508	27.288
509	27.217
510	27.376
511	27.303
512	27.315
513	27.356
514	27.401
515	27.501
516	27.429
517	27.408
518	27.345
519	27.352
520	27.427
521	27.463
522	27.397
523	27.628
524	27.62
525	27.707
526	27.675
527	27.654
528	27.657
529	27.72
530	27.662
531	27.63
532	27.662
533	27.626
534	27.659
535	27.711
536	27.745
537	27.745
538	27.797
539	27.918
540	27.958
541	27.896
542	27.888
543	27.834
544	27.831
545	27.851
546	27.872
547	27.78
548	27.828
549	27.964
550	27.887
551	27.922
552	28.069
553	28.016
554	28.027
555	28.026
556	28.035
557	28.062
558	28.111
559	28.09
560	28.045
561	28.076
562	28.091
563	28.181
564	28.088
565	28.14
566	28.058
567	28.136
568	28.152
569	28.216
570	28.273
571	28.262
572	28.284
573	28.292
574	28.339
575	28.206
576	28.242
577	28.282
578	28.342
579	28.353
580	28.297
581	28.341
582	28.385
583	28.3
584	28.407
585	28.349
586	28.458
587	28.517
588	28.488
589	28.394
590	28.526
591	28.46
592	28.312
593	28.381
594	28.401
595	28.514
596	28.45
597	28.527
598	28.508
599	28.505
600	28.554
601	28.563
602	28.529
603	28.537
604	28.564
605	28.576
606	28.715
607	28.643
608	28.61
609	28.626
610	28.624
611	28.718
612	28.715
613	28.719
614	28.788
615	28.823
616	28.791
617	28.702
618	28.72
619	28.746
620	28.619
621	28.658
622	28.673
623	28.641
624	28.739
625	28.698
626	28.803
627	28.844
628	28.804
629	28.842
630	28.841
631	28.825
632	28.883
633	28.901
634	28.922
635	28.952
636	28.889
637	28.888
638	28.93
639	28.956
640	28.938
641	29.011
642	29.053
643	29.047
644	29.02
645	29.018
646	29.003
647	28.984
648	28.973
649	28.986
650	28.991
651	29.072
652	29.109
653	29.103
654	29.174
655	29.189
656	29.086
657	29.172
658	29.174
659	29.143
660	29.15
661	29.133
662	29.139
663	29.19
664	29.207
665	29.226
666	29.247
667	29.232
668	29.198
669	29.219
670	29.204
671	29.225
672	29.249
673	29.317
674	29.313
675	29.283
676	29.211
677	29.255
678	29.27
679	29.278
680	29.301
681	29.378
682	29.263
683	29.284
684	29.324
685	29.37
686	29.376
687	29.445
688	29.455
689	29.425
690	29.451
691	29.433
692	29.452
693	29.443
694	29.468
695	29.512
696	29.506
697	29.533
698	29.533
699	29.513
700	29.562
701	29.517
702	29.544
703	29.549
704	29.57
705	29.545
706	29.546
707	29.51
708	29.48
709	29.546
710	29.603
711	29.563
712	29.571
713	29.54
714	29.55
715	29.514
716	29.527
717	29.54
718	29.563
719	29.607
720	29.586
721	29.582
722	29.613
723	29.609
724	29.581
725	29.573
726	29.614
727	29.622
728	29.598
729	29.616
730	29.64
731	29.676
732	29.673
733	29.666
734	29.681
735	29.692
736	29.707
737	29.719
738	29.7
739	29.724
740	29.769
741	29.735
742	29.747
743	29.764
744	29.757
745	29.785
746	29.791
747	29.778
748	29.763
749	29.718
750	29.723
751	29.745
752	29.755
753	29.724
754	29.728
755	29.758
756	29.792
757	29.828
758	29.828
759	29.861
760	29.857
761	29.882
762	29.886
763	29.887
764	29.873
765	29.881
766	29.877
767	29.897
768	29.894
769	29.908
770	29.888
771	29.89
772	29.937
773	29.941
774	29.936
775	29.94
776	29.938
777	29.935
778	29.971
779	29.975
780	29.981
781	29.944
782	29.971
783	29.962
784	29.979
785	29.96
786	29.95
787	29.951
788	29.957
789	30.002
790	29.985
791	29.979
792	29.95
793	29.986
794	30
795	30.003
796	29.978
797	29.99
798	30
799	29.997
800	30.01
801	30.021
802	30.063
803	30.062
804	30.055
805	30.053
806	30.059
807	30.069
808	30.094
809	30.086
810	30.063
811	30.076
812	30.076
813	30.101
814	30.129
815	30.142
816	30.125
817	30.133
818	30.16
819	30.156
820	30.173
821	30.18
822	30.169
823	30.154
824	30.153
825	30.154
826	30.15
827	30.148
828	30.141
829	30.149
830	30.131
831	30.135
832	30.146
833	30.143
834	30.15
835	30.157
836	30.164
837	30.177
838	30.18
839	30.183
840	30.209
841	30.217
842	30.229
843	30.238
844	30.238
845	30.245
846	30.263
847	30.274
848	30.27
849	30.273
850	30.263
851	30.249
852	30.281
853	30.284
854	30.282
855	30.277
856	30.273
857	30.28
858	30.284
859	30.295
860	30.322
861	30.308
862	30.32
863	30.32
864	30.319
865	30.334
866	30.345
867	30.343
868	30.36
869	30.362
870	30.35
871	30.35
872	30.344
873	30.343
874	30.345
875	30.344
876	30.354
877	30.346
878	30.347
879	30.344
880	30.326
881	30.32
882	30.334
883	30.352
884	30.361
885	30.362
886	30.354
887	30.352
888	30.351
889	30.356
890	30.367
891	30.366
892	30.365
893	30.358
894	30.362
895	30.37
896	30.376
897	30.37
898	30.376
899	30.388
900	30.389
901	30.378
902	30.375
903	30.377
904	30.377
905	30.387
906	30.39
907	30.401
908	30.4
909	30.398
910	30.399
911	30.404
912	30.401
913	30.417
914	30.414
915	30.414
916	30.432
917	30.44
918	30.442
919	30.447
920	30.443
921	30.443
922	30.447
923	30.452
924	30.452
925	30.451
926	30.442
927	30.446
928	30.438
929	30.447
930	30.45
931	30.448
932	30.451
933	30.442
934	30.442
935	30.446
936	30.458
937	30.462
938	30.463
939	30.469
940	30.472
941	30.474
942	30.477
943	30.481
944	30.472
945	30.475
946	30.475
947	30.472
948	30.477
949	30.479
950	30.484
951	30.474
952	30.471
953	30.475
954	30.47
955	30.471
956	30.477
957	30.477
958	30.487
959	30.492
960	30.493
961	30.499
962	30.495
963	30.499
964	30.495
965	30.496
966	30.505
967	30.505
968	30.507
969	30.514
970	30.515
971	30.51
972	30.503
973	30.5
974	30.503
975	30.504
976	30.507
977	30.51
978	30.514
979	30.521
980	30.525
981	30.529
982	30.525
983	30.524
984	30.526
985	30.526
986	30.516
987	30.52
988	30.511
989	30.51
990	30.516
991	30.52
992	30.52
993	30.523
994	30.519
995	30.523
996	30.524
997	30.524
998	30.526
999	30.53
1000	30.524
1001	30.521
1002	30.524
1003	30.53
1004	30.534
1005	30.533
1006	30.53
1007	30.535
1008	30.537
1009	30.539
1010	30.549
1011	30.549
1012	30.544
1013	30.549
1014	30.552
1015	30.553
1016	30.552
1017	30.547
1018	30.543
1019	30.543
1020	30.548
1021	30.545
1022	30.543
1023	30.547
1024	30.548
1025	30.551
1026	30.552
1027	30.553
1028	30.557
1029	30.554
1030	30.561
1031	30.56
1032	30.554
1033	30.551
1034	30.557
1035	30.558
1036	30.559
1037	30.562
1038	30.559
1039	30.56
1040	30.563
1041	30.563
1042	30.563
1043	30.567
1044	30.563
1045	30.565
1046	30.566
1047	30.567
1048	30.562
1049	30.565
1050	30.567
1051	30.566
1052	30.567
1053	30.566
1054	30.567
1055	30.566
1056	30.567
1057	30.568
1058	30.566
1059	30.564
1060	30.561
1061	30.562
1062	30.563
1063	30.563
1064	30.561
1065	30.563
1066	30.564
1067	30.562
1068	30.561
1069	30.56
1070	30.562
1071	30.566
1072	30.565
1073	30.564
1074	30.563
1075	30.56
1076	30.563
1077	30.566
1078	30.566
1079	30.567
1080	30.569
1081	30.569
1082	30.57
1083	30.57
1084	30.571
1085	30.573
1086	30.571
1087	30.571
1088	30.571
1089	30.571
1090	30.569
1091	30.57
1092	30.57
1093	30.57
1094	30.572
1095	30.57
1096	30.57
1097	30.57
1098	30.568
1099	30.57
1100	30.573
1101	30.572
1102	30.573
1103	30.573
1104	30.572
1105	30.573
1106	30.575
1107	30.574
1108	30.574
1109	30.574
1110	30.574
1111	30.574
1112	30.571
1113	30.571
1114	30.573
1115	30.574
1116	30.573
1117	30.573
1118	30.573
1119	30.575
1120	30.574
1121	30.573
1122	30.575
1123	30.577
1124	30.577
1125	30.576
1126	30.576
1127	30.576
1128	30.577
1129	30.576
1130	30.574
1131	30.575
1132	30.574
1133	30.575
1134	30.576
1135	30.576
1136	30.573
1137	30.576
1138	30.576
1139	30.577
1140	30.578
1141	30.577
1142	30.577
1143	30.577
1144	30.578
1145	30.577
1146	30.577
1147	30.577
1148	30.578
1149	30.578
1150	30.578
1151	30.579
1152	30.579
1153	30.579
1154	30.579
1155	30.579
1156	30.579
1157	30.579
1158	30.579
1159	30.579
1160	30.579
1161	30.579
1162	30.579
1163	30.578
1164	30.579
1165	30.578
1166	30.577
1167	30.576
1168	30.576
1169	30.577
1170	30.578
1171	30.578
1172	30.578
1173	30.578
1174	30.578
1175	30.578
1176	30.578
1177	30.578
1178	30.579
1179	30.579
1180	30.579
1181	30.579
1182	30.578
1183	30.579
1184	30.579
1185	30.579
1186	30.579
1187	30.579
1188	30.579
1189	30.579
1190	30.579
1191	30.579
1192	30.579
1193	30.579
1194	30.578
1195	30.578
1196	30.578
1197	30.579
1198	30.579
1199	30.579
1200	30.579
1201	30.579
1202	30.579
1203	30.579
1204	30.579
1205	30.579
1206	30.579
1207	30.579
1208	30.579
1209	30.579
1210	30.579
1211	30.579
1212	30.579
1213	30.579
1214	30.579
1215	30.579
1216	30.579
1217	30.579
1218	30.579
1219	30.579
1220	30.579
1221	30.579
1222	30.579
1223	30.579
1224	30.579
1225	30.579
1226	30.579
1227	30.579
1228	30.579
1229	30.579
1230	30.579
1231	30.579
1232	30.579
1233	30.579
1234	30.579
1235	30.579
1236	30.579
1237	30.579
1238	30.579
1239	30.579
1240	30.579
1241	30.579
1242	30.579
1243	30.579
1244	30.579
1245	30.579
1246	30.579
1247	30.579
1248	30.578
1249	30.578
1250	30.578
1251	30.578
1252	30.579
1253	30.579
1254	30.579
1255	30.579
1256	30.579
1257	30.579
1258	30.579
1259	30.579
1260	30.579
1261	30.579
1262	30.579
1263	30.579
1264	30.579
1265	30.579
1266	30.579
1267	30.579
1268	30.579
1269	30.579
1270	30.579
1271	30.579
1272	30.579
1273	30.579
1274	30.579
1275	30.579
1276	30.579
1277	30.579
1278	30.579
1279	30.579
1280	30.579
1281	30.579
1282	30.579
1283	30.579
1284	30.579
1285	30.579
1286	30.579
1287	30.579
1288	30.579
1289	30.579
1290	30.579
1291	30.579
1292	30.579
1293	30.579
1294	30.579
1295	30.579
1296	30.579
1297	30.579
1298	30.579
1299	30.579
1300	30.579
1301	30.579
1302	30.579
1303	30.579
1304	30.579
1305	30.579
1306	30.579
1307	30.579
1308	30.579
1309	30.579
1310	30.579
1311	30.579
1312	30.579
1313	30.579
1314	30.579
1315	30.579
1316	30.579
1317	30.579
1318	30.579
1319	30.579
1320	30.579
1321	30.579
1322	30.579
1323	30.579
1324	30.579
1325	30.579
1326	30.579
1327	30.579
1328	30.579
1329	30.579
1330	30.579
1331	30.579
1332	30.579
1333	30.579
1334	30.579
1335	30.579
1336	30.579
1337	30.579
1338	30.579
1339	30.579
1340	30.579
1341	30.579
1342	30.579
1343	30.579
1344	30.579
1345	30.579
1346	30.579
1347	30.579
1348	30.579
1349	30.579
1350	30.579
1351	30.579
1352	30.579
1353	30.579
1354	30.579
1355	30.579
1356	30.579
1357	30.579
1358	30.579
1359	30.579
1360	30.579
1361	30.579
1362	30.579
1363	30.579
1364	30.579
1365	30.579
1366	30.579
1367	30.579
1368	30.579
1369	30.579
1370	30.579
1371	30.579
1372	30.579
1373	30.579
1374	30.579
1375	30.579
1376	30.579
1377	30.579
1378	30.579
1379	30.579
1380	30.579
1381	30.579
1382	30.579
1383	30.579
1384	30.579
1385	30.579
1386	30.579
1387	30.579
1388	30.579
1389	30.579
1390	30.579
1391	30.579
1392	30.579
1393	30.579
1394	30.579
1395	30.579
1396	30.579
1397	30.579
1398	30.579
1399	30.579
1400	30.579
1401	30.579
1402	30.579
1403	30.579
1404	30.579
1405	30.579
1406	30.579
1407	30.579
1408	30.579
1409	30.579
1410	30.579
1411	30.579
1412	30.579
1413	30.579
1414	30.579
1415	30.579
1416	30.579
1417	30.579
1418	30.579
1419	30.579
1420	30.579
1421	30.579
1422	30.579
1423	30.579
1424	30.579
1425	30.579
1426	30.579
1427	30.579
1428	30.579
1429	30.579
1430	30.579
1431	30.579
1432	30.579
1433	30.579
1434	30.579
1435	30.579
1436	30.579
1437	30.579
1438	30.579
1439	30.579
1440	30.579
1441	30.579
1442	30.579
1443	30.579
1444	30.579
1445	30.579
1446	30.579
1447	30.579
1448	30.579
1449	30.579
1450	30.579
1451	30.579
1452	30.579
1453	30.579
1454	30.579
1455	30.579
1456	30.579
1457	30.579
1458	30.579
1459	30.579
1460	30.579
1461	30.579
1462	30.579
1463	30.579
1464	30.579
1465	30.579
1466	30.579
1467	30.579
1468	30.579
1469	30.579
1470	30.579
1471	30.579
1472	30.579
1473	30.579
1474	30.579
1475	30.579
1476	30.579
1477	30.579
1478	30.579
1479	30.579
1480	30.579
1481	30.579
1482	30.579
1483	30.579
1484	30.579
1485	30.579
1486	30.579
1487	30.579
1488	30.579
1489	30.579
1490	30.579
1491	30.579
1492	30.579
1493	30.579
1494	30.579
1495	30.579
1496	30.579
1497	30.579
1498	30.579
1499	30.579
1500	30.579
1501	30.579
1502	30.579
1503	30.579
1504	30.579
1505	30.579
1506	30.579
1507	30.579
1508	30.579
1509	30.579
1510	30.579
1511	30.579
1512	30.579
1513	30.579
1514	30.579
1515	30.579
1516	30.579
1517	30.579
1518	30.579
1519	30.579
1520	30.579
1521	30.579
1522	30.579
1523	30.579
1524	30.579
1525	30.579
1526	30.579
1527	30.579
1528	30.579
1529	30.579
1530	30.579
1531	30.579
1532	30.579
1533	30.579
1534	30.579
1535	30.579
1536	30.579
1537	30.579
1538	30.579
1539	30.579
1540	30.579
1541	30.579
1542	30.579
1543	30.579
1544	30.579
1545	30.579
1546	30.579
1547	30.579
1548	30.579
1549	30.579
1550	30.579
1551	30.579
1552	30.579
1553	30.579
1554	30.579
1555	30.579
1556	30.579
1557	30.579
1558	30.579
1559	30.579
1560	30.579
1561	30.579
1562	30.579
1563	30.579
1564	30.579
1565	30.579
1566	30.579
1567	30.579
1568	30.579
1569	30.579
1570	30.579
1571	30.579
1572	30.579
1573	30.579
1574	30.579
1575	30.579
1576	30.579
1577	30.579
1578	30.579
1579	30.579
1580	30.579
1581	30.579
1582	30.579
1583	30.579
1584	30.579
1585	30.579
1586	30.579
1587	30.579
1588	30.579
1589	30.579
1590	30.579
1591	30.579
1592	30.579
1593	30.579
1594	30.579
1595	30.579
1596	30.579
1597	30.579
1598	30.579
1599	30.579
1600	30.579
1601	30.579
1602	30.579
1603	30.579
1604	30.579
1605	30.579
1606	30.579
1607	30.579
1608	30.579
1609	30.579
1610	30.579
1611	30.579
1612	30.579
1613	30.579
1614	30.579
1615	30.579
1616	30.579
1617	30.579
1618	30.579
1619	30.579
1620	30.579
1621	30.579
1622	30.579
1623	30.579
1624	30.579
1625	30.579
1626	30.579
1627	30.579
1628	30.579
1629	30.579
1630	30.579
1631	30.579
1632	30.579
1633	30.579
1634	30.579
1635	30.579
1636	30.579
1637	30.579
1638	30.579
1639	30.579
1640	30.579
1641	30.579
1642	30.579
1643	30.579
1644	30.579
1645	30.579
1646	30.579
1647	30.579
1648	30.579
1649	30.579
1650	30.579
1651	30.579
1652	30.579
1653	30.579
1654	30.579
1655	30.579
1656	30.579
1657	30.579
1658	30.579
1659	30.579
1660	30.579
1661	30.579
1662	30.579
1663	30.579
1664	30.579
1665	30.579
1666	30.579
1667	30.579
1668	30.579
1669	30.579
1670	30.579
1671	30.579
1672	30.579
1673	30.579
1674	30.579
1675	30.579
1676	30.579
1677	30.579
1678	30.579
1679	30.579
1680	30.579
1681	30.579
1682	30.579
1683	30.579
1684	30.579
1685	30.579
1686	30.579
1687	30.579
1688	30.579
1689	30.579
1690	30.579
1691	30.579
1692	30.579
1693	30.579
1694	30.579
1695	30.579
1696	30.579
1697	30.579
1698	30.579
1699	30.579
1700	30.579
1701	30.579
1702	30.579
1703	30.579
1704	30.579
1705	30.579
1706	30.579
1707	30.579
1708	30.579
1709	30.579
1710	30.579
1711	30.579
1712	30.579
1713	30.579
1714	30.579
1715	30.579
1716	30.579
1717	30.579
1718	30.579
1719	30.579
1720	30.579
1721	30.579
1722	30.579
1723	30.579
1724	30.579
1725	30.579
1726	30.579
1727	30.579
1728	30.579
1729	30.579
1730	30.579
1731	30.579
1732	30.579
1733	30.579
1734	30.579
1735	30.579
1736	30.579
1737	30.579
1738	30.579
1739	30.579
1740	30.579
1741	30.579
1742	30.579
1743	30.579
1744	30.579
1745	30.579
1746	30.579
1747	30.579
1748	30.579
1749	30.579
1750	30.579
1751	30.579
1752	30.579
1753	30.579
1754	30.579
1755	30.579
1756	30.579
1757	30.579
1758	30.579
1759	30.579
1760	30.579
1761	30.579
1762	30.579
1763	30.579
1764	30.579
1765	30.579
1766	30.579
1767	30.579
1768	30.579
1769	30.579
1770	30.579
1771	30.579
1772	30.579
1773	30.579
1774	30.579
1775	30.579
1776	30.579
1777	30.579
1778	30.579
1779	30.579
1780	30.579
1781	30.579
1782	30.579
1783	30.579
1784	30.579
1785	30.579
1786	30.579
1787	30.579
1788	30.579
1789	30.579
1790	30.579
1791	30.579
1792	30.579
1793	30.579
1794	30.579
1795	30.579
1796	30.579
1797	30.579
1798	30.579
1799	30.579
1800	30.579
1801	30.579
1802	30.579
1803	30.579
1804	30.579
1805	30.579
1806	30.579
1807	30.579
1808	30.579
1809	30.579
1810	30.579
1811	30.579
1812	30.579
1813	30.579
1814	30.579
1815	30.579
1816	30.579
1817	30.579
1818	30.579
1819	30.579
1820	30.579
1821	30.579
1822	30.579
1823	30.579
1824	30.579
1825	30.579
1826	30.579
1827	30.579
1828	30.579
1829	30.579
1830	30.579
1831	30.579
1832	30.579
1833	30.579
1834	30.579
1835	30.579
1836	30.579
1837	30.579
1838	30.579
1839	30.579
1840	30.579
1841	30.579
1842	30.579
1843	30.579
1844	30.579
1845	30.579
1846	30.579
1847	30.579
1848	30.579
1849	30.579
1850	30.579
1851	30.579
1852	30.579
1853	30.579
1854	30.579
1855	30.579
1856	30.579
1857	30.579
1858	30.579
1859	30.579
1860	30.579
1861	30.579
1862	30.579
1863	30.579
1864	30.579
1865	30.579
1866	30.579
1867	30.579
1868	30.579
1869	30.579
1870	30.579
1871	30.579
1872	30.579
1873	30.579
1874	30.579
1875	30.579
1876	30.579
1877	30.579
1878	30.579
1879	30.579
1880	30.579
1881	30.579
1882	30.579
1883	30.579
1884	30.579
1885	30.579
1886	30.579
1887	30.579
1888	30.579
1889	30.579
1890	30.579
1891	30.579
1892	30.579
1893	30.579
1894	30.579
1895	30.579
1896	30.579
1897	30.579
1898	30.579
1899	30.579
1900	30.579
1901	30.579
1902	30.579
1903	30.579
1904	30.579
1905	30.579
1906	30.579
1907	30.579
1908	30.579
1909	30.579
1910	30.579
1911	30.579
1912	30.579
1913	30.579
1914	30.579
1915	30.579
1916	30.579
1917	30.579
1918	30.579
1919	30.579
1920	30.579
1921	30.579
1922	30.579
1923	30.579
1924	30.579
1925	30.579
1926	30.579
1927	30.579
1928	30.579
1929	30.579
1930	30.579
1931	30.579
1932	30.579
1933	30.579
1934	30.579
1935	30.579
1936	30.579
1937	30.579
1938	30.579
1939	30.579
1940	30.579
1941	30.579
1942	30.579
1943	30.579
1944	30.579
1945	30.579
1946	30.579
1947	30.579
1948	30.579
1949	30.579
1950	30.579
1951	30.579
1952	30.579
1953	30.579
1954	30.579
1955	30.579
1956	30.579
1957	30.579
1958	30.579
1959	30.579
1960	30.579
1961	30.579
1962	30.579
1963	30.579
1964	30.579
1965	30.579
1966	30.579
1967	30.579
1968	30.579
1969	30.579
1970	30.579
1971	30.579
1972	30.579
1973	30.579
1974	30.579
1975	30.579
1976	30.579
1977	30.579
1978	30.579
1979	30.579
1980	30.579
1981	30.579
1982	30.579
1983	30.579
1984	30.579
1985	30.579
1986	30.579
1987	30.579
1988	30.579
1989	30.579
1990	30.579
1991	30.579
1992	30.579
1993	30.579
1994	30.579
1995	30.579
