MINIMIZING EASOM FUNCTION (1000 gens, gray)
EASOM FUNCTION
1000
gray
Gen #	minima
1	-1.1278551418171025e-157
2	-1.1278551418171025e-157
3	-1.1278551418171025e-157
4	-1.1278551418171025e-157
5	-1.1278551418171025e-157
6	-1.1278551418171025e-157
7	-3.3315476379048075e-94
8	-3.3315476379048075e-94
9	-3.3315476379048075e-94
10	-3.3315476379048075e-94
11	-3.3315476379048075e-94
12	-7.083146884903708e-66
13	-1.2396860829830465e-64
14	-6.832521123229511e-18
15	-1.3558660232456313e-17
16	-1.3558660232456313e-17
17	-1.3558660232456313e-17
18	-1.3558660232456313e-17
19	-1.3558660232456313e-17
20	-1.3558660232456313e-17
21	-1.3558660232456313e-17
22	-1.3558660232456313e-17
23	-1.3558660232456313e-17
24	-1.3558660232456313e-17
25	-1.3558660232456313e-17
26	-1.3558660232456313e-17
27	-1.3558660232456313e-17
28	-1.3558660232456313e-17
29	-1.3558660232456313e-17
30	-1.3558660232456313e-17
31	-1.3558660232456313e-17
32	-1.3558660232456313e-17
33	-1.3558660232456313e-17
34	-1.3558660232456313e-17
35	-1.3558660232456313e-17
36	-1.3558660232456313e-17
37	-1.3558660232456313e-17
38	-1.3558660232456313e-17
39	-1.3558660232456313e-17
40	-1.3558660232456313e-17
41	-1.3558660232456313e-17
42	-1.3558660232456313e-17
43	-1.3558660232456313e-17
44	-1.3558660232456313e-17
45	-1.3558660232456313e-17
46	-1.3558660232456313e-17
47	-1.3558660232456313e-17
48	-1.3558660232456313e-17
49	-1.3558660232456313e-17
50	-1.3558660232456313e-17
51	-1.3558660232456313e-17
52	-1.3558660232456313e-17
53	-1.3558660232456313e-17
54	-1.3558660232456313e-17
55	-1.3558660232456313e-17
56	-1.3558660232456313e-17
57	-1.3558660232456313e-17
58	-1.3558660232456313e-17
59	-1.3558660232456313e-17
60	-1.3558660232456313e-17
61	-1.3558660232456313e-17
62	-1.3558660232456313e-17
63	-1.3558660232456313e-17
64	-1.3558660232456313e-17
65	-1.3558660232456313e-17
66	-1.3558660232456313e-17
67	-1.3558660232456313e-17
68	-1.3558660232456313e-17
