MINIMIZING ROSENBROCK'S SADDLE (1000 gens, gray)
ROSENBROCK'S SADDLE
1000
gray
Gen #	minima
1	2.3042559999999996
2	2.0010559999999895
3	0.9924159999999981
4	0.5299999999999999
5	0.5299999999999999
6	0.5299999999999999
7	0.5027360000000001
8	0.5027360000000001
9	0.4387359999999999
10	0.4387359999999999
11	0.4387359999999999
12	0.4387359999999999
13	0.438125
14	0.438125
15	0.438125
16	0.438125
17	0.43753599999999987
18	0.43753599999999987
19	0.43753599999999987
20	0.43753599999999987
21	0.43753599999999987
22	0.43753599999999987
23	0.43753599999999987
24	0.43753599999999987
25	0.43753599999999987
26	0.43753599999999987
27	0.43753599999999987
28	0.42312500000000003
29	0.42312500000000003
30	0.42312500000000003
31	0.42312500000000003
32	0.42312500000000003
33	0.42312500000000003
34	0.42312500000000003
35	0.42312500000000003
36	0.42312500000000003
37	0.42312500000000003
38	0.42312500000000003
39	0.42312500000000003
40	0.42312500000000003
41	0.42312500000000003
42	0.42312500000000003
43	0.42312500000000003
44	0.42312500000000003
45	0.42312500000000003
46	0.42312500000000003
47	0.42312500000000003
48	0.42312500000000003
49	0.42312500000000003
50	0.418816
51	0.418816
52	0.418816
53	0.418816
54	0.418816
55	0.418816
56	0.418816
57	0.418816
58	0.418816
59	0.418816
60	0.418816
61	0.418816
62	0.418816
63	0.418816
64	0.418816
65	0.418816
66	0.40961600000000004
67	0.40961600000000004
68	0.40961600000000004
69	0.40961600000000004
70	0.40961600000000004
71	0.40961600000000004
72	0.40961600000000004
73	0.40961600000000004
74	0.40961600000000004
75	0.40961600000000004
76	0.401661
77	0.401661
78	0.401661
79	0.401661
80	0.401661
81	0.401661
82	0.397861
83	0.397861
84	0.397861
85	0.397861
86	0.397861
87	0.397861
88	0.397861
89	0.397861
90	0.397861
91	0.397861
92	0.397861
93	0.397861
94	0.397861
95	0.397861
96	0.397861
97	0.397861
98	0.397861
99	0.397861
100	0.397861
101	0.397861
102	0.397861
103	0.397861
104	0.397861
105	0.397861
106	0.397861
107	0.397861
108	0.397861
109	0.397861
110	0.397861
111	0.397861
112	0.397861
113	0.397861
114	0.397861
115	0.397861
116	0.397861
117	0.397861
118	0.397861
119	0.397861
120	0.397861
121	0.397861
122	0.397861
123	0.397861
124	0.397861
125	0.397861
126	0.386336
127	0.386336
128	0.386336
129	0.386336
130	0.386336
131	0.386336
132	0.386336
133	0.386336
134	0.386336
135	0.386336
136	0.386336
137	0.386336
138	0.386336
139	0.386336
140	0.386336
141	0.386336
142	0.386336
143	0.386336
144	0.386336
145	0.386336
146	0.386336
147	0.386336
148	0.386336
149	0.386336
150	0.386336
151	0.386336
152	0.386336
153	0.386336
154	0.386336
155	0.386336
156	0.386336
157	0.386336
158	0.386336
159	0.386336
160	0.386336
161	0.386336
162	0.386336
163	0.386336
164	0.386336
165	0.386336
166	0.386336
167	0.386336
168	0.386336
169	0.386336
170	0.386336
171	0.386336
172	0.386336
173	0.386336
174	0.386336
175	0.386336
176	0.386336
177	0.386336
178	0.386336
179	0.386336
180	0.386336
181	0.386336
