MINIMIZING PARABOLA (1000 gens, gray)
PARABOLA
1000
gray
Gen #	minima
1	2410.4097659999998
2	497.335594
3	345.56980599999997
4	151.509644
5	151.509644
6	146.893662
7	94.27615700000001
8	60.917722
9	60.917722
10	12.119696000000001
11	12.119696000000001
12	11.219739
13	11.219739
14	4.665738
15	1.546366
16	1.546366
17	1.546366
18	1.546366
19	1.4840419999999999
20	1.4840419999999999
21	1.4840419999999999
22	1.401035
23	1.401035
24	1.213137
25	0.654962
26	0.654962
27	0.333701
28	0.333701
29	0.328836
30	0.32406900000000005
31	0.32406900000000005
32	0.274537
33	0.274537
34	0.19085400000000002
35	0.19085400000000002
36	0.19085400000000002
37	0.160229
38	0.160229
39	0.131598
40	0.092304
41	0.092304
42	0.092042
43	0.092042
44	0.092042
45	0.092042
46	0.092042
47	0.085477
48	0.085477
49	0.085477
50	0.085384
51	0.034379
52	0.034379
53	0.034379
54	0.034379
55	0.034379
56	0.034379
57	0.034379
58	0.011758
59	0.011758
60	0.011758
61	0.011758
62	0.0033729999999999997
63	0.0033729999999999997
64	0.0033729999999999997
65	0.0033729999999999997
66	0.0033729999999999997
67	0.0032179999999999995
68	0.0032179999999999995
69	0.0032179999999999995
70	0.00245
71	0.00245
72	0.00245
73	0.00245
74	0.00245
75	0.00245
76	0.00245
77	0.00245
78	0.00245
79	0.00245
80	0.00245
81	0.00245
82	0.00245
83	0.00245
84	0.00245
85	0.00245
86	0.00245
87	0.00245
88	0.00245
89	0.00245
90	0.00245
91	0.00245
92	0.00245
93	0.00245
94	0.00245
95	0.001469
96	0.001469
97	0.001469
98	0.001469
99	0.0014060000000000001
100	0.0014060000000000001
101	0.0014060000000000001
102	0.0014060000000000001
103	0.0014060000000000001
104	0.0014060000000000001
105	0.0014060000000000001
106	0.0014060000000000001
107	0.0014060000000000001
108	0.0014060000000000001
109	0.0014060000000000001
110	0.0014060000000000001
111	0.0010210000000000002
112	0.0010210000000000002
113	0.0010210000000000002
114	0.0010210000000000002
115	0.000701
116	0.000701
117	0.000701
118	0.000701
119	0.000701
120	0.000701
121	0.000701
122	0.0004940000000000001
123	0.0004910000000000001
124	0.0004910000000000001
125	0.0004910000000000001
126	0.0004910000000000001
127	0.0004910000000000001
128	0.0004910000000000001
129	0.000453
130	0.000453
131	0.000453
132	0.000453
133	0.00045000000000000004
134	0.00045000000000000004
135	0.000449
136	0.000449
137	0.000449
138	0.000411
139	0.000411
140	0.000411
141	0.000411
142	0.000411
143	0.00041
144	0.00041
145	0.00041
146	0.00041
147	0.00041
148	0.00041
149	0.00041
150	0.00041
151	0.00041
152	0.00041
153	0.00041
154	0.00041
155	0.00041
156	0.00041
157	0.000377
158	0.000193
159	0.000193
160	0.000193
161	0.00016
162	0.00016
163	0.00016
164	0.00016
165	0.00016
166	0.000137
167	0.000137
168	0.000137
169	0.000137
170	0.000137
171	0.000137
172	0.000137
173	0.000137
174	0.000137
175	0.000137
176	0.000137
177	0.000137
178	0.000137
179	0.000137
180	0.000137
181	0.000137
182	0.000137
183	0.000137
184	0.000137
185	0.000137
186	0.00013
187	0.00013
188	0.00013
189	0.00013
190	0.00013
191	0.00013
192	0.00013
193	0.00013
194	0.00013
195	0.00012099999999999999
196	0.00012099999999999999
197	0.00012099999999999999
198	0.00012099999999999999
199	0.00012099999999999999
200	0.00012099999999999999
201	0.00012099999999999999
202	0.00012099999999999999
203	0.00012099999999999999
204	0.00012099999999999999
205	6.4e-05
206	6.4e-05
207	6.4e-05
208	6.4e-05
209	6.4e-05
210	6.4e-05
211	6.4e-05
212	6.4e-05
213	6.4e-05
214	6.4e-05
