MINIMIZING EASOM FUNCTION (1000 gens, binary)
EASOM FUNCTION
1000
binary
Gen #	minima
1	-1.0597126159222208e-261
2	-1.0597126159222208e-261
3	-1.0597126159222208e-261
4	-1.0597126159222208e-261
5	-1.0597126159222208e-261
6	-1.0597126159222208e-261
7	-1.0597126159222208e-261
8	-9.568466527572822e-58
9	-9.568466527572822e-58
10	-9.568466527572822e-58
11	-9.568466527572822e-58
12	-9.568466527572822e-58
13	-9.568466527572822e-58
14	-9.568466527572822e-58
15	-9.568466527572822e-58
16	-9.568466527572822e-58
17	-9.568466527572822e-58
18	-9.568466527572822e-58
19	-9.568466527572822e-58
20	-9.568466527572822e-58
21	-9.568466527572822e-58
22	-9.568466527572822e-58
23	-9.568466527572822e-58
24	-9.568466527572822e-58
25	-9.568466527572822e-58
26	-9.568466527572822e-58
27	-9.568466527572822e-58
28	-9.568466527572822e-58
29	-9.568466527572822e-58
30	-9.568466527572822e-58
31	-9.568466527572822e-58
32	-9.568466527572822e-58
33	-9.568466527572822e-58
34	-9.568466527572822e-58
35	-9.568466527572822e-58
36	-9.568466527572822e-58
37	-9.568466527572822e-58
38	-9.568466527572822e-58
39	-9.568466527572822e-58
40	-9.568466527572822e-58
41	-9.568466527572822e-58
42	-9.568466527572822e-58
43	-9.568466527572822e-58
44	-9.568466527572822e-58
45	-9.568466527572822e-58
46	-9.568466527572822e-58
47	-9.568466527572822e-58
48	-9.568466527572822e-58
49	-9.568466527572822e-58
50	-9.568466527572822e-58
51	-9.568466527572822e-58
52	-9.568466527572822e-58
53	-9.568466527572822e-58
54	-9.568466527572822e-58
55	-9.568466527572822e-58
56	-9.568466527572822e-58
57	-9.568466527572822e-58
58	-9.568466527572822e-58
59	-9.568466527572822e-58
60	-9.568466527572822e-58
61	-9.568466527572822e-58
62	-9.568466527572822e-58
63	-9.568466527572822e-58
64	-9.568466527572822e-58
65	-9.568466527572822e-58
66	-9.568466527572822e-58
67	-9.568466527572822e-58
68	-9.568466527572822e-58
69	-9.568466527572822e-58
70	-9.568466527572822e-58
71	-9.568466527572822e-58
72	-9.568466527572822e-58
