MINIMIZING EASOM FUNCTION (1000 gens, gray)
EASOM FUNCTION
1000
gray
Gen #	minima
129	-6.299289020143782e-05
130	-6.299289020143782e-05
131	-6.299289020143782e-05
132	-6.299289020143782e-05
133	-6.299289020143782e-05
134	-6.299289020143782e-05
135	-6.299289020143782e-05
136	-6.299289020143782e-05
137	-6.299289020143782e-05
138	-6.299289020143782e-05
139	-6.299289020143782e-05
140	-6.299289020143782e-05
141	-6.299289020143782e-05
142	-6.299289020143782e-05
143	-6.299289020143782e-05
144	-6.299289020143782e-05
145	-6.299289020143782e-05
146	-6.732878523278681e-05
147	-6.732878523278681e-05
148	-6.732878523278681e-05
149	-6.732878523278681e-05
150	-6.732878523278681e-05
151	-6.732878523278681e-05
152	-6.732878523278681e-05
153	-6.732878523278681e-05
154	-6.732878523278681e-05
155	-6.732878523278681e-05
156	-6.732878523278681e-05
157	-6.732878523278681e-05
158	-6.732878523278681e-05
159	-6.732878523278681e-05
160	-6.732878523278681e-05
161	-6.732878523278681e-05
162	-6.732878523278681e-05
163	-6.732878523278681e-05
164	-6.732878523278681e-05
165	-6.732878523278681e-05
166	-6.732878523278681e-05
167	-6.732878523278681e-05
168	-6.732878523278681e-05
169	-6.732878523278681e-05
170	-6.732878523278681e-05
171	-6.732878523278681e-05
172	-6.732878523278681e-05
173	-6.732878523278681e-05
174	-6.732878523278681e-05
175	-6.732878523278681e-05
176	-6.732878523278681e-05
177	-6.732878523278681e-05
178	-6.732878523278681e-05
179	-6.732878523278681e-05
180	-6.732878523278681e-05
181	-6.732878523278681e-05
182	-6.732878523278681e-05
183	-6.732878523278681e-05
184	-6.732878523278681e-05
185	-6.796317661022174e-05
186	-6.796317661022174e-05
187	-6.796317661022174e-05
188	-6.796317661022174e-05
189	-6.796317661022174e-05
190	-6.796317661022174e-05
191	-8.008261330639727e-05
192	-8.008261330639727e-05
193	-8.008261330639727e-05
194	-8.008261330639727e-05
195	-8.008261330639727e-05
196	-8.008261330639727e-05
197	-8.008261330639727e-05
198	-8.008261330639727e-05
199	-8.008261330639727e-05
200	-8.008261330639727e-05
201	-8.039164282877861e-05
202	-8.039164282877861e-05
203	-8.039164282877861e-05
204	-8.039164282877861e-05
205	-8.039164282877861e-05
206	-8.039164282877861e-05
207	-8.039164282877861e-05
208	-8.039164282877861e-05
209	-8.04315973354789e-05
210	-8.04315973354789e-05
211	-8.068086454975857e-05
212	-8.071203641269194e-05
213	-8.071203641269194e-05
214	-8.071203641269194e-05
215	-8.071203641269194e-05
216	-8.071203641269194e-05
217	-8.071203641269194e-05
218	-8.089807537120447e-05
219	-8.110003197277665e-05
220	-8.110003197277665e-05
221	-8.110003197277665e-05
222	-8.110003197277665e-05
223	-8.110003197277665e-05
224	-8.110003197277665e-05
225	-8.110003197277665e-05
226	-8.110003197277665e-05
227	-8.110003197277665e-05
228	-8.110003197277665e-05
229	-8.110003197277665e-05
230	-8.110003197277665e-05
231	-8.110003197277665e-05
232	-8.110003197277665e-05
233	-8.110003197277665e-05
234	-8.110003197277665e-05
235	-8.110003197277665e-05
236	-8.110003197277665e-05
237	-8.110003197277665e-05
238	-8.110003197277665e-05
239	-8.110003197277665e-05
240	-8.110003197277665e-05
241	-8.110003197277665e-05
242	-8.110003197277665e-05
243	-8.110003197277665e-05
244	-8.110003197277665e-05
245	-8.110003197277665e-05
246	-8.110003197277665e-05
247	-8.110003197277665e-05
248	-8.110003197277665e-05
249	-8.110003197277665e-05
250	-8.110003197277665e-05
251	-8.110003197277665e-05
252	-8.110003197277665e-05
253	-8.110003197277665e-05
254	-8.110003197277665e-05
255	-8.110003197277665e-05
256	-8.110003197277665e-05
257	-8.110003197277665e-05
258	-8.110003197277665e-05
259	-8.110003197277665e-05
260	-8.110003197277665e-05
261	-8.110003197277665e-05
262	-8.110003197277665e-05
263	-8.110003197277665e-05
264	-8.110003197277665e-05
265	-8.110003197277665e-05
266	-8.110003197277665e-05
267	-8.110003197277665e-05
268	-8.110003197277665e-05
269	-8.110003197277665e-05
270	-8.110003197277665e-05
271	-8.110003197277665e-05
272	-8.110003197277665e-05
273	-8.110003197277665e-05
274	-8.110003197277665e-05
275	-8.110003197277665e-05
276	-8.110003197277665e-05
277	-8.110003197277665e-05
278	-8.110003197277665e-05
279	-8.110003197277665e-05
280	-8.110003197277665e-05
281	-8.110003197277665e-05
282	-8.110003197277665e-05
283	-8.110003197277665e-05
284	-8.110003197277665e-05
285	-8.110003197277665e-05
286	-8.110003197277665e-05
287	-8.110003197277665e-05
288	-8.110177661982755e-05
289	-8.110177661982755e-05
290	-8.110177661982755e-05
291	-8.110177661982755e-05
292	-8.110177661982755e-05
293	-8.110177661982755e-05
294	-8.110177661982755e-05
295	-8.110177661982755e-05
296	-8.110177661982755e-05
297	-8.110177661982755e-05
298	-8.110177661982755e-05
299	-8.110177661982755e-05
300	-8.110177661982755e-05
301	-8.110177661982755e-05
302	-8.110177661982755e-05
303	-8.110177661982755e-05
304	-8.110177661982755e-05
305	-8.110177661982755e-05
306	-8.110177661982755e-05
307	-8.110177661982755e-05
308	-8.110177661982755e-05
309	-8.110177661982755e-05
310	-8.110177661982755e-05
311	-8.110177661982755e-05
312	-8.110177661982755e-05
313	-8.110177661982755e-05
314	-8.110177661982755e-05
315	-8.110177661982755e-05
316	-8.110177661982755e-05
317	-8.110177661982755e-05
318	-8.110177661982755e-05
319	-8.110177661982755e-05
320	-8.110177661982755e-05
321	-8.110177661982755e-05
322	-8.110177661982755e-05
323	-8.110177661982755e-05
324	-8.110177661982755e-05
325	-8.110177661982755e-05
326	-8.110177661982755e-05
327	-8.110177661982755e-05
328	-8.110177661982755e-05
329	-8.110177661982755e-05
330	-8.110177661982755e-05
331	-8.110177661982755e-05
332	-8.110177661982755e-05
333	-8.110177661982755e-05
334	-8.110219068262243e-05
335	-8.110219068262243e-05
336	-8.110219068262243e-05
337	-8.110219068262243e-05
338	-8.110219068262243e-05
339	-8.110219068262243e-05
340	-8.110219068262243e-05
341	-8.110219068262243e-05
342	-8.110219068262243e-05
343	-8.110219068262243e-05
344	-8.110219068262243e-05
345	-8.110219068262243e-05
346	-8.110219068262243e-05
347	-8.110219068262243e-05
348	-8.110219068262243e-05
349	-8.110219068262243e-05
350	-8.110219068262243e-05
351	-8.110219068262243e-05
352	-8.110219068262243e-05
353	-8.110219068262243e-05
354	-8.110219068262243e-05
355	-8.110219068262243e-05
356	-8.110219068262243e-05
357	-8.110219068262243e-05
358	-8.110219068262243e-05
359	-8.110219068262243e-05
360	-8.110219068262243e-05
361	-8.110219068262243e-05
362	-8.110219068262243e-05
363	-8.110219068262243e-05
364	-8.110219068262243e-05
365	-8.110219068262243e-05
366	-8.110219068262243e-05
367	-8.110219068262243e-05
368	-8.110219068262243e-05
369	-8.110219068262243e-05
370	-8.110219068262243e-05
371	-8.110219068262243e-05
372	-8.110219068262243e-05
373	-8.110219068262243e-05
374	-8.110219068262243e-05
375	-8.110219068262243e-05
376	-8.110219068262243e-05
377	-8.110219068262243e-05
378	-8.110219068262243e-05
379	-8.110219068262243e-05
380	-8.110219068262243e-05
381	-8.110219068262243e-05
382	-8.110219068262243e-05
383	-8.110219068262243e-05
384	-8.110219068262243e-05
385	-8.110219068262243e-05
386	-8.110219068262243e-05
387	-8.110219068262243e-05
388	-8.110219068262243e-05
389	-8.110219068262243e-05
390	-8.110219068262243e-05
391	-8.110219068262243e-05
392	-8.110219068262243e-05
393	-8.110219068262243e-05
394	-8.110219068262243e-05
395	-8.110219068262243e-05
396	-8.110219068262243e-05
397	-8.110219068262243e-05
398	-8.110219068262243e-05
399	-8.110219068262243e-05
400	-8.110219068262243e-05
401	-8.110219068262243e-05
402	-8.110219068262243e-05
403	-8.110219068262243e-05
404	-8.110219068262243e-05
405	-8.110219068262243e-05
406	-8.110219068262243e-05
407	-8.110219068262243e-05
408	-8.110219068262243e-05
409	-8.110219068262243e-05
410	-8.110219068262243e-05
411	-8.110219068262243e-05
412	-8.110219068262243e-05
413	-8.110219068262243e-05
414	-8.110219068262243e-05
415	-8.110219068262243e-05
416	-8.110219068262243e-05
417	-8.110219068262243e-05
418	-8.110219068262243e-05
419	-8.110219068262243e-05
420	-8.110219068262243e-05
421	-8.110219068262243e-05
422	-8.110219068262243e-05
423	-8.110219068262243e-05
424	-8.110219068262243e-05
425	-8.110219068262243e-05
426	-8.110219068262243e-05
427	-8.110219068262243e-05
428	-8.110219068262243e-05
429	-8.110219068262243e-05
430	-8.110219068262243e-05
431	-8.110219068262243e-05
432	-8.110219068262243e-05
433	-8.110219068262243e-05
434	-8.110219068262243e-05
435	-8.110219068262243e-05
436	-8.110219068262243e-05
437	-8.110219068262243e-05
438	-8.110219068262243e-05
439	-8.110219068262243e-05
