MINIMIZING EASOM FUNCTION (1000 gens, binary)
EASOM FUNCTION
1000
binary
Gen #	minima
1	-0.0
2	-0.0
3	-0.0
4	-0.0
5	-0.0
6	-0.0
7	-0.0
8	-0.0
9	-0.0
10	-0.0
11	-0.0
12	-0.0
13	-0.0
14	-0.0
15	-0.0
16	-0.0
17	-0.0
18	-0.0
19	-0.0
20	-0.0
21	-0.0
22	-4.2058459952375055e-243
23	-4.2058459952375055e-243
24	-2.4353712972054863e-242
25	-1.770348979545146e-41
26	-1.770348979545146e-41
27	-1.770348979545146e-41
28	-1.770348979545146e-41
29	-1.3303649129090094e-16
30	-1.3303649129090094e-16
31	-1.3303649129090094e-16
32	-1.3303649129090094e-16
33	-1.3303649129090094e-16
34	-1.3303649129090094e-16
35	-1.3303649129090094e-16
36	-1.3303649129090094e-16
37	-1.3303649129090094e-16
38	-1.3303649129090094e-16
39	-1.3303649129090094e-16
40	-1.3303649129090094e-16
41	-1.3303649129090094e-16
42	-1.3303649129090094e-16
43	-1.3303649129090094e-16
44	-1.3303649129090094e-16
45	-1.3303649129090094e-16
46	-1.3303649129090094e-16
47	-1.3303649129090094e-16
48	-1.3303649129090094e-16
49	-1.3303649129090094e-16
50	-1.3303649129090094e-16
51	-1.3303649129090094e-16
52	-1.3303649129090094e-16
53	-1.3303649129090094e-16
54	-1.3303649129090094e-16
55	-1.3303649129090094e-16
56	-1.3303649129090094e-16
57	-1.3303649129090094e-16
58	-1.3303649129090094e-16
59	-1.3303649129090094e-16
60	-1.3303649129090094e-16
61	-1.3303649129090094e-16
62	-1.3303649129090094e-16
63	-1.3303649129090094e-16
64	-1.3303649129090094e-16
65	-1.3303649129090094e-16
66	-1.3303649129090094e-16
67	-1.3303649129090094e-16
68	-1.3303649129090094e-16
69	-1.3303649129090094e-16
70	-1.3303649129090094e-16
71	-1.3303649129090094e-16
72	-1.3303649129090094e-16
73	-1.3303649129090094e-16
74	-1.3303649129090094e-16
75	-1.3303649129090094e-16
76	-1.3303649129090094e-16
77	-1.3303649129090094e-16
78	-1.3303649129090094e-16
79	-1.3303649129090094e-16
80	-1.3303649129090094e-16
81	-1.3303649129090094e-16
82	-1.3303649129090094e-16
83	-1.3303649129090094e-16
84	-1.3303649129090094e-16
85	-1.3303649129090094e-16
86	-1.3303649129090094e-16
87	-1.3303649129090094e-16
88	-1.3303649129090094e-16
89	-1.3303649129090094e-16
90	-1.3303649129090094e-16
91	-1.3303649129090094e-16
92	-1.3303649129090094e-16
93	-1.3303649129090094e-16
94	-1.3303649129090094e-16
95	-1.3303649129090094e-16
96	-1.3303649129090094e-16
97	-1.3303649129090094e-16
98	-1.3303649129090094e-16
99	-1.3303649129090094e-16
100	-1.3303649129090094e-16
101	-1.3303649129090094e-16
102	-1.3303649129090094e-16
103	-1.3303649129090094e-16
104	-1.3303649129090094e-16
105	-1.3303649129090094e-16
106	-1.3303649129090094e-16
107	-1.3303649129090094e-16
