# Generation	ratio_optimal	mean_fitness
1	0.03145	22.989
2	0.05272	24.7579
3	0.07459	25.9529
4	0.09751	26.8047
5	0.12075	27.4335
6	0.1449	27.912
7	0.16763	28.2891
8	0.19009	28.5963
9	0.21302	28.8568
10	0.23528	29.0691
11	0.25539	29.2494
12	0.27494	29.3991
13	0.293	29.5308
14	0.31064	29.6444
15	0.3276	29.743
16	0.34292	29.8289
17	0.35772	29.9051
18	0.37159	29.9724
19	0.38394	30.0295
20	0.39569	30.0805
21	0.40589	30.1262
22	0.41599	30.1688
23	0.42541	30.2043
24	0.43421	30.2374
25	0.44236	30.2669
26	0.44997	30.2924
27	0.45653	30.3151
28	0.46271	30.3361
29	0.46863	30.355
30	0.47406	30.3718
31	0.47938	30.3879
32	0.48412	30.4023
33	0.48844	30.415
34	0.49235	30.4265
35	0.4959	30.4366
36	0.49942	30.4461
37	0.50257	30.4553
38	0.50592	30.4635
39	0.50876	30.4704
40	0.51149	30.4773
41	0.51363	30.4827
42	0.51567	30.4876
43	0.51745	30.4919
44	0.51915	30.4962
45	0.521	30.5003
46	0.52277	30.5041
47	0.52436	30.5075
48	0.5255	30.5102
49	0.52655	30.5128
50	0.52781	30.5153
51	0.52884	30.5174
52	0.52988	30.5193
53	0.53086	30.5213
54	0.53175	30.5231
55	0.53262	30.5248
56	0.53332	30.5263
57	0.53406	30.5277
58	0.53469	30.5288
59	0.53526	30.53
60	0.53587	30.531
61	0.53628	30.5319
62	0.53683	30.5329
63	0.53743	30.5338
64	0.538	30.5348
65	0.5385	30.5356
66	0.53898	30.5363
67	0.53939	30.537
68	0.53979	30.5377
69	0.54024	30.5384
70	0.54055	30.5389
71	0.54087	30.5394
72	0.54126	30.5398
73	0.54164	30.5403
74	0.54189	30.5406
75	0.54221	30.5411
76	0.54252	30.5415
77	0.54271	30.5418
78	0.54296	30.5422
79	0.54313	30.5424
80	0.54336	30.5427
81	0.54363	30.5431
82	0.5439	30.5434
83	0.54409	30.5436
84	0.54438	30.544
85	0.54462	30.5443
86	0.54481	30.5445
87	0.54493	30.5446
88	0.54508	30.5448
89	0.54528	30.545
90	0.54539	30.5451
91	0.54552	30.5453
92	0.54565	30.5454
93	0.54573	30.5455
94	0.54589	30.5457
95	0.54605	30.5459
96	0.54616	30.546
97	0.54632	30.5462
98	0.54652	30.5464
99	0.54668	30.5465
100	0.54685	30.5467
101	0.54706	30.547
102	0.54719	30.5471
103	0.54733	30.5472
104	0.54752	30.5474
105	0.54767	30.5476
106	0.54791	30.5478
107	0.54811	30.548
108	0.54826	30.5482
109	0.54842	30.5483
110	0.54852	30.5485
111	0.54866	30.5486
112	0.54886	30.5488
113	0.54907	30.5491
114	0.54912	30.5491
115	0.5493	30.5493
116	0.54945	30.5494
117	0.54958	30.5496
118	0.54976	30.5497
119	0.54994	30.5499
120	0.55009	30.5501
121	0.55026	30.5502
122	0.55046	30.5505
123	0.55056	30.5506
124	0.5507	30.5507
125	0.5509	30.5509
126	0.55101	30.551
127	0.55118	30.5512
128	0.55131	30.5513
129	0.55146	30.5515
130	0.55157	30.5516
131	0.55169	30.5517
132	0.55176	30.5518
133	0.55187	30.5519
134	0.552	30.552
135	0.55214	30.5521
136	0.55227	30.5523
137	0.55241	30.5524
138	0.55257	30.5526
139	0.55271	30.5527
140	0.55281	30.5528
141	0.55291	30.5529
142	0.5531	30.5531
143	0.55319	30.5532
144	0.55334	30.5533
145	0.55347	30.5535
146	0.55361	30.5536
147	0.55377	30.5538
148	0.55397	30.554
149	0.55413	30.5541
150	0.55428	30.5543
151	0.55443	30.5544
152	0.55464	30.5546
153	0.55473	30.5547
154	0.5549	30.5549
155	0.55503	30.555
156	0.55516	30.5552
157	0.55531	30.5553
158	0.55545	30.5555
159	0.55557	30.5556
160	0.55567	30.5557
161	0.55585	30.5558
162	0.55604	30.556
163	0.55622	30.5562
164	0.55635	30.5563
165	0.55649	30.5565
166	0.55664	30.5566
167	0.5567	30.5567
168	0.55681	30.5568
169	0.55695	30.557
170	0.5571	30.5571
171	0.55724	30.5572
172	0.55743	30.5574
173	0.55759	30.5576
174	0.55775	30.5577
175	0.55795	30.558
