# Eval no.	mean best sol
0	146.25271614625288
1	63.57217698468183
2	43.103814367028455
3	31.825359232553883
4	24.908217203440177
5	19.442217865009034
6	16.01001339218427
7	13.1930607090613
8	11.036492801662913
9	9.352722696524715
10	8.132611163062073
11	7.292607280947975
12	6.332458959014929
13	5.607815275334935
14	5.133298123990377
15	4.7188962605108715
16	4.387315927227985
17	3.9965617913435403
18	3.721475567130284
19	3.501116869855591
20	3.3153671722727918
21	3.148013771321172
22	2.917334229407396
23	2.783709586050566
24	2.6575788770619173
25	2.517586233297383
26	2.4190075183016235
27	2.324390503488171
28	2.249729833559161
29	2.1813662764521116
30	2.1062313104489285
31	2.050286336885201
32	2.0073483810883364
33	1.9538491700411804
34	1.9125857382671023
35	1.8664340688516852
36	1.830482712424544
37	1.7826568553522408
38	1.7503799635681616
39	1.7242957208823766
40	1.7018603375725203
41	1.6673875296201786
42	1.6439078072334627
43	1.6223267010247464
44	1.5935214160354563
45	1.5686360065322593
46	1.5488429484579838
47	1.5264191032806707
48	1.4953614324051092
49	1.4688643730531266
50	1.4386119168033802
51	1.421180927865301
52	1.403173013973348
53	1.3911237651014101
54	1.3803673843559072
55	1.368207845269777
56	1.3479558287998124
57	1.3384348032111606
58	1.327368766669499
59	1.3117272779440885
60	1.3012748101745053
61	1.2854555827102687
62	1.2713015154778131
63	1.2648068319598005
64	1.2557385843938877
65	1.2453828344510343
66	1.2362299710805416
67	1.226109285659947
68	1.216597958414247
69	1.2109792749274657
70	1.2020755071564295
71	1.1954626310715728
72	1.1866739368463983
73	1.1799490966305672
74	1.1744265651550647
75	1.169186459987495
76	1.165215618957187
77	1.1626294949083171
78	1.1564138007185332
79	1.151707523829182
80	1.1451900592710513
81	1.1390021994946062
82	1.1358678868623375
83	1.1321087391069609
84	1.1297797474031388
85	1.1274386301235793
86	1.121516101685383
87	1.1188236334854162
88	1.1122378009617797
89	1.1072078560219274
90	1.1052004016665455
91	1.1032971822746005
92	1.098558185954616
93	1.0924421681021679
94	1.0878274197727487
95	1.0845884588805528
96	1.077136684706787
97	1.077041467004975
98	1.074411062244018
99	1.0694289263225183
100	1.0670860892726444
101	1.0639789067683358
102	1.062712587795336
103	1.0599452454799538
104	1.0581334042501422
105	1.0558836900853152
106	1.0558488194876563
107	1.0551353758635629
108	1.0515299790912616
109	1.0509000618995552
110	1.048370127009109
111	1.0471268495231818
112	1.0442879688179658
113	1.0433654442482765
114	1.0417162347298035
115	1.0409898613133677
116	1.0409651115814733
117	1.03799632448754
118	1.0374936999075888
119	1.0337715350516086
120	1.0329406486427444
121	1.0300508027276296
122	1.0300459234917925
123	1.0281129411652898
124	1.0264090309149307
125	1.025489120047249
126	1.023528976633841
127	1.0231782015389788
128	1.0195344875040442
129	1.0191746021762829
130	1.0181693595534882
131	1.0142746357197046
132	1.0139379368711183
133	1.0139223418698682
134	1.0138988803443743
135	1.0122546753943085
136	1.010856387252024
137	1.0108554802284433
138	1.0107953493257815
139	1.0107933078634392
140	1.0107931984760314
141	1.0105623447929377
142	1.008946672457556
143	1.0089459937897254
144	1.008629678208948
145	1.0086271125813107
146	1.0069301127324741
147	1.0066034374549877
148	1.0062603240935828
149	1.0062565082609605
150	1.0062552454980374
151	1.0059212961057649
152	1.0059212929708388
153	1.0059211216690331
154	1.005920638203847
155	1.0059205960334747
156	1.005919523586213
157	1.0059192607320764
158	1.005919204969015
159	1.0059182507871705
160	1.0059182424067048
161	1.0059181282198464
162	1.00591812742692
163	1.0055882487760477
164	1.0055882460345669
165	1.005588245589855
166	1.0052570510251937
