# Eval no.	mean best sol
0	143.675504731705
1	62.77232213774943
2	41.969629817216735
3	31.62447256058197
4	23.592354924535613
5	18.907335059369252
6	14.729501023268291
7	12.566682225047042
8	10.789080341547317
9	9.416830152657262
10	8.22393929427467
11	7.276422946431792
12	6.254083911097566
13	5.472391814848081
14	5.024700570506403
15	4.5221165736033795
16	4.22127013685937
17	3.906651685569999
18	3.6714667363115536
19	3.4689910857722728
20	3.28673079041609
21	3.1408973998818923
22	2.992116990151939
23	2.8692050246163174
24	2.765483424853439
25	2.643603306056701
26	2.542434281863722
27	2.4561678477342848
28	2.380410669820627
29	2.3107004761222987
30	2.24056948497429
31	2.179117317502188
32	2.1213806333931897
33	2.0629469668559985
34	2.022714140219931
35	1.9812887205268885
36	1.928794072479984
37	1.8918921784056875
38	1.854045282524224
39	1.8132768396458199
40	1.7797011982650457
41	1.7481654599246335
42	1.7040245564971557
43	1.6848945021128403
44	1.5783848591858212
45	1.5371851136442662
46	1.5071645719638394
47	1.4883735206867474
48	1.4691907284289918
49	1.4579604458217414
50	1.4426439803430624
51	1.4243185118683883
52	1.410969300111837
53	1.3850051947127373
54	1.3657830086631453
55	1.3544575810368338
56	1.3407759369793926
57	1.3281759145215613
58	1.317817735952985
59	1.3057760634081024
60	1.2867499835587133
61	1.273147349016768
62	1.26522137480314
63	1.2573734195478403
64	1.245110269931334
65	1.237832523519651
66	1.2283155896300295
67	1.222520612982593
68	1.2146100355406386
69	1.204519239815191
70	1.1969557870859475
71	1.1884854488039036
72	1.1796243011201168
73	1.1715003684351666
74	1.1622219710489399
75	1.1571764589075044
76	1.1496124798593232
77	1.1444498034167219
78	1.135460571598408
79	1.1299869365708237
80	1.12796143844723
81	1.1194050775214717
82	1.11379743876202
83	1.1092743740206221
84	1.1074027607251602
85	1.103797287900505
86	1.1020896462910497
87	1.0993161518956853
88	1.0983533499156963
89	1.093666265867992
90	1.0907471160879598
91	1.088417423757474
92	1.0866996374308184
93	1.082291422771719
94	1.080657673225319
95	1.0759778087154743
96	1.074365121138198
97	1.0713839456884093
98	1.067373442145636
99	1.067316150867345
100	1.0649858565736714
101	1.064642323589972
102	1.0639512997877165
103	1.0623015987657691
104	1.0583438589750742
105	1.0563350549080348
106	1.0559671966017552
107	1.0530923290726935
108	1.05276132532283
109	1.0521431980011555
110	1.0517890048577199
111	1.0511261758855504
112	1.050281757088832
113	1.047988373436338
114	1.0473551504471934
115	1.0456993979759504
116	1.0456137902635685
117	1.0439468492550568
118	1.0432406113230055
119	1.0402285955659378
120	1.0389364521865674
121	1.035280471194834
122	1.0341676546867042
123	1.033297791650876
124	1.0313324094543126
125	1.029455266621387
126	1.0287802320473038
127	1.0271904439454855
128	1.0271846895284586
129	1.0268560873498223
130	1.0265557660140145
131	1.0265541953442552
132	1.0262070845672149
133	1.025357799446552
134	1.0226065643370035
135	1.022397598793182
136	1.02215693699469
137	1.0218183415141635
138	1.0218143813259914
139	1.0218115591873933
140	1.0211530820954429
141	1.020814842663584
142	1.0204658396935493
143	1.0198240751956995
144	1.0181804471355296
145	1.0165363530894538
146	1.0161718010002805
147	1.016170306648799
148	1.016169672723885
149	1.0158388870618018
150	1.0158382550392697
151	1.0148075328584683
152	1.0140583112939667
153	1.0108792303673702
154	1.0108783854386905
155	1.01087601107266
156	1.0108723455035158
157	1.010872137741945
158	1.0089181983860367
159	1.0088762092187538
160	1.0088756421970961
161	1.0088756398338354
162	1.0088755240840288
163	1.008875409511644
164	1.006570249298893
165	1.0062637475993643
166	1.0062628678664212
