# Eval no.	mean best sol
0	2.875065099037698
1	1.6614406492771712
2	1.1111754095853332
3	0.7925282774750695
4	0.6053934916547667
5	0.47527089599226663
6	0.3919786484595659
7	0.3376136981853998
8	0.29159924484913347
9	0.24903300355466637
10	0.22570253846429966
11	0.20085666178219988
12	0.1804300198916665
13	0.16860947653663308
14	0.15403981174659984
15	0.14404711956486657
16	0.1370552794472999
17	0.13035727814753328
18	0.12430393284113336
19	0.11932659827646674
20	0.11535843287740016
21	0.11185141977673341
22	0.1083887948780333
23	0.10475368104936655
24	0.10195445314679999
25	0.0996998085600335
26	0.09782934565393336
27	0.0957088300692999
28	0.09311914076336679
29	0.09144817399046669
30	0.08961319326240011
31	0.08718411848490008
32	0.08597011152316682
33	0.0839937970793667
34	0.08274403457500001
35	0.08173370419776668
36	0.08057043859000002
37	0.07961784573546667
38	0.0785775085830667
39	0.07776890281723335
40	0.07673080621919992
41	0.07604830799583324
42	0.07535487423693325
43	0.07464784729603326
44	0.07400670740956672
45	0.0732486642925001
46	0.07249873821100009
47	0.07184531622703338
48	0.07100521818850013
49	0.07044915359546676
50	0.06995937278480008
51	0.06951039872333341
52	0.06895882087770001
53	0.06846637684536677
54	0.0679512623638001
55	0.06742302866236673
56	0.06689913738660008
57	0.06650534064593343
58	0.06584781818680005
59	0.06545604883696671
60	0.06518479392776669
61	0.06468773296953344
62	0.06428255101370002
63	0.06371116791953337
64	0.06345647429920001
65	0.06308926126856668
66	0.06264456710529998
67	0.06232230311633332
68	0.06207375863673327
69	0.061810367929666585
70	0.06141068153583325
71	0.06100948002863319
72	0.0606521747157332
73	0.06036655227449986
74	0.06021635961173325
75	0.05984871843609991
76	0.05951355535213325
77	0.059268820568633224
78	0.05893132626239993
79	0.0586282877566999
80	0.058425558490766576
81	0.05830716794913325
82	0.05808859342639993
83	0.0578303818811333
84	0.0574561951666
85	0.057247087946500026
86	0.0570823971199667
87	0.056888775700966725
88	0.05670324421643341
89	0.05642266691570008
90	0.056218813218800096
91	0.05597570500520012
92	0.0557586333139668
93	0.05532158996826679
94	0.0550957806344668
95	0.05481169050323348
96	0.054683550577766804
97	0.05444271318980014
98	0.05417919313933346
99	0.05406059363683345
100	0.05389821758790008
101	0.05377773399883344
102	0.05358813672176678
103	0.05341748400120006
104	0.053178416756000046
105	0.05299962104710008
106	0.052829559957233374
107	0.05268637329013337
108	0.05240347760873336
109	0.05227359485959999
110	0.05205587460439999
111	0.051837447004800016
112	0.051637145809866655
113	0.051492927814866654
114	0.05130906614086666
115	0.05115303864030001
116	0.05104055832823339
117	0.05092785790976671
118	0.0508103007358667
119	0.050669642458566706
120	0.050562942690766714
121	0.050429279731700076
122	0.050308787757566725
123	0.05015067834003338
124	0.050027298774700114
125	0.04989998166440009
126	0.049827227150566755
127	0.049672307124433414
128	0.04950676268783341
129	0.049347181569866755
130	0.04927945974160006
131	0.049125847135266715
132	0.049006531723600026
133	0.04875387254850005
134	0.04858238073293335
135	0.04853009318016667
136	0.048259343422100004
137	0.04815401235973334
138	0.04805718237070004
139	0.04786189502030004
140	0.047661359075633396
141	0.04757021009166673
142	0.047494822994000076
143	0.04740527898206677
144	0.04722740103923342
145	0.04706758878750009
146	0.046959256256800086
147	0.04680479526506678
148	0.04621112228363344
149	0.04611575369983344
150	0.04601164322966675
151	0.04595470252393343
152	0.04589510097773343
153	0.04579507694410009
154	0.04565325005350009
155	0.045560628368033415
156	0.04535455143516673
157	0.04511249880693337
158	0.0449669903658334
159	0.04486310677413338
160	0.04478239227210006
161	0.04472729530343338
162	0.044633265147233384
163	0.044586645057600065
164	0.04448675482726674
165	0.044445010781866696
166	0.04434542168780003
