# Eval no.	mean best sol
0	2.8194398645648415
1	1.3385652196139324
2	0.8701309306662025
3	0.638561385632034
4	0.49561053193543353
5	0.39614247479566694
6	0.3343828345982666
7	0.29215524008863303
8	0.25497462544713306
9	0.22561419221293325
10	0.20519904587803356
11	0.1871630989518001
12	0.17396392147273373
13	0.16014246806726687
14	0.15000342868163355
15	0.1427760532797001
16	0.1335447831155
17	0.12770472017133325
18	0.12245127955946657
19	0.11788647513919992
20	0.11278814695259987
21	0.10854497403496662
22	0.10311266748219988
23	0.09903965644673328
24	0.09517049234679986
25	0.09249569066076659
26	0.08977677548093324
27	0.08715387307286662
28	0.08473347491560004
29	0.08256579324253333
30	0.08000777109253333
31	0.07771294770939997
32	0.07563372754676666
33	0.07344832094280003
34	0.0717066071752999
35	0.07048318343756657
36	0.06896909622579987
37	0.06756280501146651
38	0.06629656910093322
39	0.06519411759149979
40	0.06413108940903313
41	0.06310267620876646
42	0.0622518623587998
43	0.06136151375289981
44	0.06062605114489982
45	0.05966224369056649
46	0.058904953094666465
47	0.05805761322663313
48	0.057394255458533196
49	0.05623266521133319
50	0.05528035090673318
51	0.05445959816906653
52	0.05381126887609989
53	0.05298960344033329
54	0.05213532265906662
55	0.051386177677966584
56	0.05058946614559989
57	0.04999384776916663
58	0.04941193652846665
59	0.04870211955606665
60	0.04812681009696665
61	0.047446552946700006
62	0.0467597022864333
63	0.046262741132399955
64	0.04578573050786662
65	0.04537185127743331
66	0.04487721265993332
67	0.0443972123181
68	0.043772156935833334
69	0.043318465502699986
70	0.04285354541636665
71	0.04254712186203331
72	0.042018371681033305
73	0.04151593302086665
74	0.040881480457600004
75	0.04025038999013333
76	0.0398484780953
77	0.039452903106499994
78	0.03904173843626667
79	0.038468158736066675
80	0.038237390640600014
81	0.0378285254849667
82	0.03760682483696671
83	0.03721774117283337
84	0.03698564340163337
85	0.03670100644580002
86	0.03644689734230002
87	0.03608718402363337
88	0.03575693941766669
89	0.035491847216766695
90	0.03521513305880003
91	0.034936784960700025
92	0.034637258769266696
93	0.034265253316966705
94	0.03392752682630002
95	0.033741510636866666
96	0.03338650751893335
97	0.03319379833183334
98	0.033026877548433364
99	0.03276600632076669
100	0.03259397994680003
101	0.03242669936283336
102	0.03213955038310003
103	0.03189600309420003
104	0.03169997787716672
105	0.03149482490870004
106	0.03134699081320004
107	0.031195313649600046
108	0.03099013521443338
109	0.030810056415433384
110	0.03068341846016672
111	0.030538066364666723
112	0.030388119027533383
113	0.03009969258733338
114	0.029812969141333398
115	0.029676473386066726
116	0.029418820641066722
117	0.02923527196476673
118	0.029023367571100057
119	0.028812161588666722
120	0.028627395015900056
121	0.028568097226666707
122	0.02827912317760003
123	0.028020429907700043
124	0.027921988611700057
125	0.027735076181833407
126	0.027468752013666716
127	0.027267684729933378
128	0.02708785045296671
129	0.026938708760200047
130	0.026838019988466716
131	0.02667758864396671
132	0.02657517420073338
133	0.02650010241890005
134	0.026302335449366714
135	0.02619759331073338
136	0.026052822489900037
137	0.025816715205033366
138	0.025767909517566696
139	0.025567281558066705
140	0.02542528482800003
141	0.02531493437146671
142	0.025189769190066713
143	0.02501658656083338
144	0.024823644889433383
145	0.0246809010941667
146	0.024610091837066694
147	0.024307117967200025
148	0.024137538183066715
149	0.023996616217733382
150	0.02388825632886672
151	0.02376610325043338
152	0.02368161843983339
153	0.02360022205003339
154	0.023379721659733392
155	0.02333343089176673
156	0.023222408674600056
157	0.023014199458700063
158	0.022917894824000078
159	0.02283976585713341
160	0.022770225257600075
161	0.022606208976566733
162	0.02256114212220007
163	0.022401484271566734
164	0.022330485187366727
165	0.02225395075980006
166	0.02214378662543339
